epoch,train_loss,validation_loss,selection_score,source_ap,transit_ap,victim_ap,path_ap,learning_rate,best_epoch,early_stop_counter,epoch_seconds,maximum_preclip_gradient_norm,train_source_loss,validation_source_loss,train_transit_loss,validation_transit_loss,train_victim_loss,validation_victim_loss,train_path_loss,validation_path_loss
11,1.109595965384975,1.2322377398857516,0.6003066119957228,0.608447298908479,0.600482652585266,0.5775804937351594,0.6162831787153639,0.001,11,0,24.292834758758545,98.74750518798828,0.1995538723479654,0.2179624882846652,0.3442591072013154,0.3830204847385324,0.19371632820788645,0.23352237843157841,0.3720666560541451,0.39773239981321235
12,1.0543414802714097,0.9823295598133618,0.6143745124939068,0.6208862674044723,0.614553326879127,0.5945408006133508,0.6291755019972287,0.001,12,0,23.895351886749268,71.57616424560547,0.19039614761996676,0.17854097778617498,0.33020349706586594,0.3120496750560662,0.1725157411481324,0.15342280531294958,0.36122609419279433,0.33831609863583306
13,1.0388406617806656,1.0476407139998591,0.61773760228484,0.6221518479175452,0.6105001967201027,0.6110377710951952,0.6285377797787596,0.001,13,0,23.822235822677612,121.92362213134766,0.1928903410463979,0.17367086897331788,0.31332198608311684,0.340884076249411,0.17617258863505605,0.18799083058556987,0.3564557496924338,0.34509492993811536
14,1.0063786444029135,0.9522965436998759,0.6161174818404059,0.6317227415079616,0.6051260926497587,0.59987272056246,0.6267547804248141,0.001,13,1,25.29639482498169,89.73458099365234,0.18591101727083206,0.1519573942530962,0.3114921500024959,0.3191141994208535,0.1541297517314868,0.15747969851639992,0.3548457240627153,0.3237452507019043
15,1.0631543064941087,1.0783776458957033,0.6155675554606392,0.6230016949370094,0.6119190460026974,0.6010843530997972,0.6270809860195641,0.001,13,2,25.202986240386963,114.4869613647461,0.1973909518866733,0.1793257792790731,0.34632261299225264,0.3545357726519097,0.1515382815894534,0.17441351629917345,0.3679024608367709,0.37010257857664947
16,0.9834092611992397,0.9820637852143815,0.6096034866799368,0.6214676841830751,0.598887251034609,0.5993036542596687,0.6180772755072241,0.001,13,3,23.01633906364441,137.1020050048828,0.17775993886350194,0.18028170399434418,0.3030607077220016,0.30267941027922535,0.15600042305439707,0.16634175234675255,0.3465881891875896,0.33276091849057915
17,0.9517117958841127,0.9791619007310344,0.6053821036251452,0.6015771936006162,0.60661565534452,0.6014894435388456,0.6144133541205945,0.001,13,4,24.652419328689575,66.5455093383789,0.17339174212990935,0.16617849077149216,0.292851761529683,0.33172852977977096,0.14422304062299926,0.14178083500186145,0.341245250529052,0.33947404766143663
18,0.9270353133365216,0.9882425771666974,0.6278018047348013,0.6237897942276134,0.6293099893038203,0.6227505403469156,0.6382486702691662,0.001,18,0,24.456175327301025,79.660888671875,0.16452963440659768,0.15759842069212962,0.2913160774703581,0.3231394345554527,0.13526899574695447,0.17155664554044206,0.3359206055550327,0.3359480826029528
19,0.9632773401051988,0.8965220973561703,0.619514438844019,0.6216780968469814,0.6208961900200338,0.6086823333912006,0.6280818946855797,0.001,18,1,24.08909559249878,128.3985595703125,0.17423608287448122,0.1595327070085177,0.30041583857990145,0.29405624256499047,0.1457407457672625,0.1244667005150711,0.34288467220779195,0.31846643567542005
20,0.9809797734164004,0.9008259001362826,0.6148648218637767,0.6116713288353621,0.6079567108976883,0.6184918826810207,0.6237563740924539,0.001,18,2,25.471176147460938,154.60299682617188,0.18658567071430338,0.17099059294162278,0.30012647210753157,0.2742266576917959,0.14310185297917155,0.13171765546993583,0.3511657781965447,0.32389098816904527
21,0.9605698586172848,0.8989455316258573,0.6248023508742117,0.6403089027647269,0.6151285457414016,0.6050517126885525,0.6383230771865254,0.001,18,3,23.779189586639404,96.90189361572266,0.17103034382242113,0.16969792759890454,0.3001051414565241,0.28155243392714974,0.14387428722684212,0.12715322091357156,0.34556009170394586,0.320541951924296
22,0.8928654955760194,1.2025731471611014,0.6296001799658448,0.6341056371181274,0.607589698155424,0.6434747174364085,0.6330119246622425,0.001,22,0,22.56494116783142,78.09677124023438,0.16046265823041292,0.26910514682341047,0.2619635061670239,0.39872926551406185,0.1452688949760117,0.1502296057925827,0.3251704384401023,0.38450913350091886
23,0.9261385536559464,1.0839164104802703,0.6334730097694112,0.6383582495357686,0.622936433524567,0.6334683751844591,0.6393216636571206,0.001,23,0,22.770114421844482,109.32200622558594,0.17005416413111998,0.19942237320683165,0.2834213025787451,0.27148866301490465,0.13298169644677177,0.2732116642050055,0.33968138836456524,0.3397937085132185
24,0.8651782674589359,0.9592576227882356,0.6249370419240523,0.6301641521554889,0.6091645239459209,0.6285754675614477,0.632263992002817,0.001,23,1,23.364021062850952,79.20968627929688,0.16252329721131537,0.19077960048751053,0.2502919336192587,0.29707142217310756,0.13239849835684775,0.13245373340097577,0.31996453742171505,0.3389528689865561
