role,threshold,objective,node_f1,exact_set_attack,node_balanced_accuracy
source,0.24,0.6554181724227407,0.6421730926697284,0.6752857920522591,0.9608311402366136
source,0.241,0.6554318901618321,0.6421959555682141,0.6752857920522591,0.9608337556003061
source,0.242,0.65558192240311,0.6422645540324016,0.6755579749591726,0.9608416016913837
source,0.243,0.6556352563701637,0.6423534439774912,0.6755579749591726,0.9608033564409603
source,0.244,0.6557039009871244,0.6424678516724255,0.6755579749591726,0.9608164332594227
source,0.245,0.6555629022979934,0.6424143091284829,0.6752857920522591,0.960665082416458
source,0.246,0.6557267178861707,0.6425058798375026,0.6755579749591726,0.9606755438712278
source,0.247,0.6558477805888752,0.6425261957374011,0.675830157866086,0.960629452529727
source,0.248,0.6559841356248542,0.6425719988594241,0.6761023407729995,0.960634683257112
source,0.249,0.6560391111273945,0.6426636246969912,0.6761023407729995,0.9606451447118819
source,0.25,0.6560360300837131,0.6426584896241889,0.6761023407729995,0.9605477313014954
source,0.251,0.6560635293772358,0.64270432178006,0.6761023407729995,0.9605529620288803
source,0.252,0.6562136588353973,0.6427730822723869,0.6763745236799129,0.9605608081199577
source,0.253,0.6563622674394389,0.6428393080078473,0.6766467065868264,0.9605199475058419
source,0.254,0.6563760258608131,0.6428622387101377,0.6766467065868264,0.9605225628695344
source,0.255,0.6563760258608131,0.6428622387101377,0.6766467065868264,0.9605225628695344
source,0.256,0.6565399425260011,0.642953977880842,0.6769188894937398,0.9605330243243043
source,0.257,0.6565384196073936,0.6429514396831626,0.6769188894937398,0.9604843176191111
source,0.258,0.6563852027603372,0.6428775335426777,0.6766467065868264,0.960379058117647
source,0.259,0.6564264996291276,0.6429463616573284,0.6766467065868264,0.9603869042087245
source,0.26,0.6566455410186433,0.6431299753685789,0.6769188894937398,0.9604078271182643
source,0.261,0.6567144281196896,0.6432447872036561,0.6769188894937398,0.9604209039367266
source,0.262,0.6567419898473424,0.6432907234164108,0.6769188894937398,0.9604261346641116
source,0.263,0.6569059982767387,0.6433826155274623,0.6771910724006532,0.9604365961188814
source,0.264,0.6571774044338541,0.6434720485801035,0.6777354382144801,0.9603983508684582
source,0.265,0.6573414500776524,0.6435640027151585,0.6780076211213936,0.9604088123232281
source,0.266,0.6575745189953554,0.6437709956400542,0.678279804028307,0.9604323505964604
source,0.267,0.6577248084986673,0.6438400228742986,0.6785519869352205,0.9604401966875378
source,0.268,0.6578889172666122,0.6439320822162644,0.6788241698421339,0.9604506581423077
source,0.269,0.6579441686697555,0.6440241678881699,0.6788241698421339,0.9604611195970776
source,0.27,0.6580654013277449,0.6440447670468766,0.6790963527490473,0.9604150282555768
source,0.271,0.6580654013277449,0.6440447670468766,0.6790963527490473,0.9604150282555768
source,0.272,0.6582019109546782,0.6440908278204899,0.6793685356559608,0.9604202589829618
source,0.273,0.6584075428797602,0.6442520924243509,0.6796407185628742,0.9604385665288091
source,0.274,0.6584490257546077,0.6443212305490967,0.6796407185628742,0.9604464126198865
source,0.275,0.6588448031567374,0.6444364937388194,0.6804572672836146,0.9604594894383489
source,0.276,0.6591164675753041,0.6445263572272125,0.6810016330974414,0.9604212441879255
source,0.277,0.6592668635527799,0.6445955619183965,0.6812738160043549,0.9604290902790029
source,0.278,0.6594144326460296,0.6446600551358704,0.6815459989112683,0.9603395229596938
source,0.279,0.6594282814119832,0.6446831364124597,0.6815459989112683,0.9603421383233863
source,0.28,0.6595620266847255,0.6447245899290881,0.6818181818181818,0.9602499556403847
source,0.281,0.6594794519698517,0.6447684206755739,0.6815459989112683,0.9602064796625764
source,0.28200000000000003,0.6594780398883593,0.6447660672064198,0.6815459989112683,0.9601577729573831
source,0.28300000000000003,0.6596700848241625,0.6449046868281496,0.6818181818181818,0.960173465139538
source,0.28400000000000003,0.6596978166963117,0.6449509066150649,0.6818181818181818,0.960178695866923
source,0.28500000000000003,0.6598482951213036,0.6450202487187758,0.6820903647250952,0.9601865419580005
source,0.28600000000000003,0.6600785167540828,0.6450410408975232,0.6826347305389222,0.9601404506164997
source,0.28700000000000003,0.6602151366010465,0.645087285371187,0.6829069134458357,0.9601456813438847
source,0.28800000000000003,0.6602428872639768,0.645133536476071,0.6829069134458357,0.9601509120712696
source,0.289,0.6602706419064954,0.6451797942136019,0.6829069134458357,0.9601561427986545
source,0.29,0.6603122813338739,0.6452491932592327,0.6829069134458357,0.960163988889732
source,0.291,0.6603678145069293,0.6453417485476584,0.6829069134458357,0.9601744503445018
source,0.292,0.6603650609307015,0.6453371592539454,0.6829069134458357,0.9600770369341153
source,0.293,0.6604053570408155,0.6454043194374686,0.6829069134458357,0.9600361763199994
source,0.294,0.6604470393548689,0.6454737899608912,0.6829069134458357,0.9600440224110769
source,0.295,0.6606393040713348,0.6456127758837252,0.6831790963527491,0.9600597145932317
source,0.296,0.6606671092370047,0.6456591178265083,0.6831790963527491,0.9600649453206167
source,0.297,0.6608037915574239,0.645705466422598,0.6834512792596625,0.9600701760480016
source,0.298,0.6608733319221303,0.6458213670304422,0.6834512792596625,0.960083252866464
source,0.299,0.6608872429908871,0.6458445521450368,0.6834512792596625,0.9600858682301565
source,0.3,0.6609150681250764,0.6458909273686856,0.6834512792596625,0.9600910989575414
source,0.301,0.6613099324132062,0.6460046687017418,0.6842678279804029,0.9600554690708105
source,0.302,0.6617200899886221,0.6461438988469413,0.6850843767011432,0.9600711612529653
source,0.303,0.6617313649374277,0.646162690428284,0.6850843767011432,0.9599763632062713
source,0.304,0.6618010270667009,0.6462787939770727,0.6850843767011432,0.9599894400247337
source,0.305,0.6623062068855408,0.6463949392567033,0.686173108328797,0.960002516843196
source,0.306,0.6623048952241102,0.646392753154319,0.686173108328797,0.9599538101380028
source,0.307,0.6624416531804832,0.6464392278103318,0.6864452912357104,0.9599590408653877
source,0.308,0.6624403441494218,0.6464370460918961,0.6864452912357104,0.9599103341601944
source,0.309,0.6624821832304676,0.6465067778936391,0.6864452912357104,0.959918180251272
source,0.31,0.6625744959506553,0.6464791771560096,0.6867174741426239,0.959818151477193
source,0.311,0.6626960138880835,0.6465002517804476,0.6869896570495373,0.9597720601356923
source,0.312,0.6625426679188575,0.6464261304363467,0.6867174741426239,0.9596668006342282
source,0.313,0.6629390606816485,0.6465424192271714,0.6875340228633642,0.9596798774526907
