epoch,train_loss,maximum_preclip_gradient_norm,validation_loss,selection_score,graph_average_precision,graph_auroc,graph_balanced_accuracy_at_0p5,graph_f1_at_0p5,learning_rate_after_scheduler,is_best,best_epoch,early_stop_patience_counter,elapsed_seconds
1,0.6059418752013497,4.206481456756592,0.5936696094723649,0.5072707948512984,0.3864216308810978,0.6281199588214991,0.5508905182837192,0.28412049088880625,0.001,True,1,0,23.978899240493774
2,0.500468396929492,15.849966049194336,0.4521825248482584,0.7088793675365177,0.5712180648476811,0.8465406702253542,0.5514516995538463,0.24370636767505816,0.001,True,2,0,22.46994161605835
3,0.39960202822013674,38.70271301269531,0.5802574274944924,0.4675034721988629,0.3152700438841135,0.6197369005136123,0.6866248200561729,0.5696222291601624,0.001,False,2,1,21.511078119277954
4,0.3689067923351245,14.559505462646484,0.34594899396938994,0.712294297650699,0.568649775772253,0.8559388195291451,0.8312403572426783,0.7226516996717145,0.001,True,4,0,22.26898169517517
5,0.36784040595910006,32.10953903198242,0.34378600725725694,0.7162174702262288,0.5712696188788359,0.8611653215736218,0.8505063204596823,0.7384678326685077,0.001,True,5,0,22.83336353302002
6,0.3676460651668669,58.86637878417969,0.33986742073244214,0.7294605487914245,0.5939067272844905,0.8650143702983585,0.8352534104635052,0.7299049265341401,0.001,True,6,0,22.32372760772705
7,0.3625271178641185,37.973514556884766,0.3402961451431801,0.741604313715736,0.615716129215386,0.8674924982160861,0.8411480732807133,0.7338923681137884,0.001,True,7,0,20.932636737823486
8,0.3579545405166701,21.450725555419922,0.38064096957483207,0.7472517233723213,0.6263928806005072,0.8681105661441353,0.790240739540694,0.6892021022455805,0.001,True,8,0,22.445934057235718
9,0.3656493003678676,77.63545989990234,0.34716916651409097,0.7249485708656576,0.5880033758204197,0.8618937659108954,0.835353626894106,0.7270418958950486,0.001,False,8,1,21.907864809036255
10,0.3471954869723825,21.766355514526367,0.40062846671575786,0.7323386557177254,0.6054469047620938,0.8592304066733568,0.7550688609843172,0.6481366072541443,0.001,False,8,2,22.34511685371399
11,0.3607661912998037,21.093992233276367,0.3411384513780075,0.7324374849492274,0.6014184424949175,0.8634565274035374,0.8455510790850277,0.7390703116689714,0.001,False,8,3,22.009395122528076
12,0.36196043048835186,24.951078414916992,0.33932847705685165,0.734573424499451,0.6031351561392673,0.8660116928596346,0.8351646297728382,0.7285775492716366,0.001,False,8,4,22.39281988143921
13,0.3741189033549932,73.90543365478516,0.37100428026906984,0.7468224270870616,0.6237483759024596,0.8698964782716637,0.7805133823365036,0.6784632165798085,0.0005,False,8,5,23.20284080505371
14,0.34255264405581315,15.485628128051758,0.33457488780734185,0.745879732453117,0.6210763491368281,0.8706831157694058,0.8532594441074521,0.7435445400808878,0.0005,False,8,6,22.971959829330444
15,0.33945207257664023,13.086004257202148,0.3437438286355629,0.7678014991211345,0.6555274356684209,0.8800755625738481,0.8331654964297743,0.7311399135925557,0.0005,True,15,0,21.737780332565308
16,0.34208564045773576,12.144615173339844,0.35244458742525386,0.7625465020168785,0.6489308623336263,0.8761621417001305,0.7755360072716551,0.6754750220208884,0.0005,False,15,1,22.462809801101685
17,0.33837406870522546,6.549564838409424,0.3341663242680512,0.7468310221753767,0.622674989977253,0.8709870543735003,0.8527585771431038,0.7432488574989613,0.0005,False,15,2,22.087759971618652
18,0.3416543069817989,18.134599685668945,0.33453455594003123,0.7611697460954587,0.6465365003554209,0.8758029918354965,0.8374270618055017,0.7335511982570805,0.0005,False,15,3,23.05895161628723
19,0.3386238584524753,5.068731784820557,0.3343163922828733,0.7676860780363346,0.6575673102946892,0.8778048457779801,0.8290438344208149,0.7273335563733692,0.0005,False,15,4,24.389663696289062
20,0.33824945638536086,6.053568363189697,0.39040885791467983,0.7459015813319302,0.6240012692742222,0.8678018933896382,0.7715728163362373,0.6694915254237288,0.00025,False,15,5,22.65428924560547
21,0.345925042571851,45.43029022216797,0.3299034226823736,0.7598722913189562,0.6419900756345054,0.877754507003407,0.8554107158293636,0.749443325204114,0.00025,False,15,6,23.10398554801941
22,0.3323836908089721,6.487257480621338,0.34536026975813194,0.7519207524767614,0.6317073567151001,0.8721341482384226,0.8175887582495645,0.7184040590405905,0.00025,False,15,7,22.887900352478027
23,0.3359416907444187,13.252699851989746,0.33514550667003956,0.7436383846518708,0.6151091592295189,0.8721676100742228,0.8573755112113903,0.7475436963491571,0.00025,False,15,8,24.27942204475403
24,0.33451707764491184,14.154328346252441,0.3441391584212448,0.7527079159761398,0.631490806876653,0.8739250250756265,0.8142660917153721,0.7147647126835472,0.00025,False,15,9,21.850460052490234
25,0.3331410707757495,12.824246406555176,0.34310485881254893,0.76054252869751,0.6452471281443772,0.875837929250643,0.8183211067238585,0.7185958471951359,0.000125,False,15,10,22.884618520736694
26,0.32784795927096877,12.314383506774902,0.3740874445149116,0.7489809543848809,0.6275008369507327,0.8704610718190291,0.7687037060036036,0.6666666666666666,0.000125,False,15,11,24.01508069038391
27,0.3269111163442954,8.15311050415039,0.33311529954274494,0.7538637854617463,0.6330399479969735,0.874687622926519,0.8397118734582502,0.7364628820960698,0.000125,False,15,12,23.453938007354736
