threshold,objective,source_node_f1,source_exact_set_attack,derived_graph_balanced_accuracy
0.0,0.053042657282636685,0.08840442880439447,0.0,0.5
0.001,0.673864229300936,0.6342665480183448,0.733260751224823,0.726564264739101
0.002,0.6963216919097313,0.6550017674089785,0.7583015786608601,0.7575107296137339
0.003,0.7064611571740029,0.6648241206030151,0.7689167120304845,0.772080415631353
0.004,0.7131940008655759,0.670601868617368,0.7770821992378879,0.7809464648746329
0.005,0.7179983105724272,0.6749799460366076,0.7825258573761568,0.7871018748588209
0.006,0.7209972010855237,0.6783449994502877,0.7849755035383778,0.7919019652134629
0.007,0.7245062952108259,0.68147166058999,0.7890582471420795,0.7972103004291846
0.008,0.7261359958963534,0.6834620073141,0.7901469787697333,0.800316241246894
0.009000000000000001,0.7283183072386621,0.6852846401718583,0.7928688078388677,0.8028574655522928
0.01,0.7299332242446015,0.6868874368874368,0.7945019052803484,0.8055681048113847
0.011,0.7309048908042584,0.6879625153397046,0.7953184540010887,0.8069798960921617
0.012,0.7321411655771172,0.6891156969380913,0.7966793685356559,0.8087305172803253
0.013000000000000001,0.7328099478409359,0.6900488787731801,0.7969515514425695,0.8102552518635645
0.014,0.733633131121141,0.6908764850930285,0.7977681001633098,0.8112152699344929
0.015,0.7348601834827857,0.6918328407347825,0.7994011976047904,0.81262706121527
0.016,0.7352816596104768,0.692535300947601,0.7994011976047904,0.8138129658911226
0.017,0.7363867213930868,0.6932883389576304,0.8010342950462711,0.8148294556132821
0.018000000000000002,0.7368877289336948,0.6939418962540349,0.8013064779531845,0.8158459453354416
0.019,0.7374977212439285,0.6944141842905976,0.8021230266739249,0.8165236051502146
0.02,0.7379099132611324,0.6949197157146618,0.8023952095808383,0.8172577366162186
0.021,0.7380706247511748,0.6951875681980658,0.8023952095808383,0.8177659814772984
0.022,0.7388359623848879,0.6957373098358186,0.8034839412084921,0.8186130562457646
0.023,0.7391952305951182,0.6959731796436509,0.804028307022319,0.81889541450192
0.024,0.7396490600887777,0.6963666515905322,0.8045726728361459,0.8194036593629997
0.025,0.7400736671721628,0.6967114195202896,0.8051170386499727,0.8199119042240794
0.026000000000000002,0.7406701181799031,0.6973425939906387,0.8056614044637996,0.8209848655974701
0.027,0.7407076393724618,0.6975865845828454,0.8053892215568862,0.8214366388073187
0.028,0.7408974229888985,0.69790289061024,0.8053892215568862,0.8219448836683985
0.029,0.7414773551827736,0.6983250784528717,0.8062057702776265,0.8225660718319403
0.03,0.7415724264788606,0.6984835306130166,0.8062057702776265,0.8227919584368647
0.031,0.7419191827658791,0.6986985472154962,0.8067501360914534,0.8231872599954823
0.032,0.7420937185673864,0.6989894402180084,0.8067501360914534,0.8236390332053309
0.033,0.7423931602473076,0.6993070544132681,0.8070223189983668,0.8241472780664106
0.034,0.7426767004380205,0.6994167108552383,0.8075666848121938,0.8243166930201039
0.035,0.7428198008903608,0.6996552116091387,0.8075666848121938,0.8248249378811836
0.036000000000000004,0.7431989312435849,0.6999241849886277,0.8081110506260207,0.8253896543934944
0.037,0.7435759322187149,0.7001896094046264,0.8086554164398476,0.825784955952112
0.038,0.7437804161610986,0.7003489607039902,0.8089275993467611,0.8260108425570364
0.039,0.7438601250606058,0.7004818088698358,0.8089275993467611,0.8262367291619607
0.04,0.7439717683361543,0.7006678809957498,0.8089275993467611,0.8265190874181161
0.041,0.744099433300806,0.7008806559368358,0.8089275993467611,0.8268579173255026
0.042,0.7442425766320594,0.700937772884316,0.8091997822536745,0.8270273322791959
0.043000000000000003,0.7443993571456446,0.7010176184690158,0.809471965160588,0.8271402755816579
0.044,0.7447608910329839,0.7012572644053633,0.8100163309744148,0.8273661621865823
0.045,0.7448408154989522,0.7013904718486438,0.8100163309744148,0.8275355771402756
0.046,0.7451576344475862,0.7017370481584249,0.8102885138813283,0.8279873503501243
0.047,0.7450991834181657,0.7018210850473331,0.8100163309744148,0.8281567653038175
0.048,0.7453969914691183,0.7019545212563694,0.8105606967882417,0.8282697086062796
0.049,0.7454130074676258,0.7019812145872153,0.8105606967882417,0.8282697086062796
0.05,0.7456500524828777,0.7021948343413595,0.8108328796951552,0.828495595211204
0.051000000000000004,0.7458711400244664,0.702381858306065,0.8111050626020686,0.8287779534673594
0.052000000000000005,0.7460947471682701,0.7025730816077954,0.811377245508982,0.8291167833747459
0.053,0.7461749892684271,0.7027068184413903,0.811377245508982,0.8293426699796702
0.054,0.7463480781096852,0.7028138445722117,0.8116494284158955,0.8295120849333635
0.055,0.746678248953315,0.7030012187690434,0.8121937942297224,0.8297379715382878
0.056,0.7468699629363368,0.703139286802804,0.8124659771366358,0.8300768014456743
0.057,0.7470592163094594,0.7032732538200662,0.8127381600435493,0.8302462163993676
0.058,0.7472645861644439,0.7034340816404314,0.8130103429504627,0.8303591597018296
0.059000000000000004,0.7474056346997258,0.7034877072612922,0.8132825258573761,0.8304156313530608
0.06,0.7476110634210766,0.703648633192268,0.8135547087642896,0.8306979896092161
0.061,0.7476915601378087,0.7037827943868212,0.8135547087642896,0.8309238762141404
0.062,0.7475530286474923,0.703733363840903,0.8132825258573761,0.8309238762141404
