role,threshold,objective,node_f1,exact_set_attack,node_balanced_accuracy
source,0.0,0.053042657282636685,0.08840442880439447,0.0,0.5
source,0.001,0.7549914802291118,0.6912714109788408,0.8505715841045183,0.9779525196210679
source,0.002,0.7703221188162945,0.7028504194025884,0.8715296679368536,0.9789597748938695
source,0.003,0.7772215259080903,0.7078170414563254,0.8813282525857377,0.9791974682873187
source,0.004,0.7813487478331983,0.7105222734254992,0.8875884594447468,0.9793102691772939
source,0.005,0.7851368315971987,0.7126622751261603,0.8938486663037561,0.9794655608401137
source,0.006,0.7885061046737692,0.7142857142857142,0.8998366902558519,0.9796198672979697
source,0.007,0.791267370942397,0.7161659956642924,0.9039194338595536,0.979797712029058
source,0.008,0.7929426182210215,0.7171435217492439,0.9066412629286881,0.9798405430531014
source,0.009000000000000001,0.7940240298623532,0.7178571428571429,0.9082743603701687,0.9797598070298336
source,0.01,0.7950144598161218,0.7186005830903791,0.909635274904736,0.9796816863702581
source,0.011,0.796627088991362,0.7194737456696898,0.9123571039738705,0.9797140559395316
source,0.012,0.7973869677092791,0.7203772996570003,0.9129014697876974,0.9797490408724976
source,0.013000000000000001,0.7985576058252432,0.7210581762846776,0.9148067501360915,0.9797631028959237
source,0.014,0.7991132293859418,0.7216213050099575,0.9153511159499184,0.9798154101697731
source,0.015,0.7995906736684901,0.7218726796670444,0.9161676646706587,0.97964150625854
source,0.016,0.8004986392558326,0.7224786792895704,0.9175285792052259,0.9795990154856954
source,0.017,0.8008560419268416,0.7227114398653673,0.9180729450190528,0.9795712316900419
source,0.018000000000000002,0.8012854861942729,0.7230642697685349,0.9186173108328797,0.9795052026439651
source,0.019,0.8022147670567066,0.7235243395782708,0.9202504082743603,0.9794983417578514
source,0.02,0.8025619776489801,0.723921568627451,0.9205225911812738,0.9795349568495462
source,0.021,0.8026934188300672,0.7241406372625961,0.9205225911812738,0.9794071442798136
source,0.022,0.8032458805563766,0.7245170409926182,0.9213391399020141,0.9793924373026226
source,0.023,0.8035831418880802,0.724716232669573,0.9218835057158411,0.9794107448484699
source,0.024,0.8036214098287626,0.7247800125707102,0.9218835057158411,0.9793672688706616
source,0.025,0.8039524770762685,0.7251503360452777,0.9221556886227545,0.9794012685986637
source,0.026000000000000002,0.8046617512676624,0.7256066386124985,0.9232444202504083,0.9794431144177433
source,0.027,0.8051596592570278,0.7258921194476138,0.9240609689711486,0.9794692680546682
source,0.028,0.8053584329343095,0.7260419536384745,0.9243331518780621,0.9794336381679372
source,0.029,0.8059482809613416,0.7262992125984253,0.9254218835057159,0.9794571764411695
source,0.03,0.8065039034392416,0.7264994289764896,0.9265106151333696,0.9794754839870168
source,0.031,0.807271543309255,0.7268715524034671,0.9278715296679368,0.979509483715019
source,0.032,0.8076611946136751,0.727158060701616,0.9284158954817637,0.9795356373519437
source,0.033,0.8078259646782906,0.7272512222046996,0.9286880783886772,0.9794947767378279
source,0.034,0.8083935668200983,0.7276528599605522,0.9295046271094175,0.9795313918295225
source,0.035,0.8086974428982383,0.7277964095482343,0.9300489929232444,0.979544468647985
source,0.036000000000000004,0.8089485540140715,0.7280334728033473,0.9303211758301578,0.9795166848523315
source,0.037,0.8087611425817971,0.7280840309587744,0.929776810016331,0.9793731801004442
source,0.038,0.8088991897989166,0.7283141096539738,0.929776810016331,0.979394103009984
source,0.039,0.8092550706165581,0.7285443338074916,0.9303211758301578,0.9794150259195238
source,0.04,0.8093760099550029,0.7287458993715664,0.9303211758301578,0.9794333334653711
source,0.041,0.8096628945245347,0.7288611297782346,0.9308655416439847,0.979443794920141
source,0.042,0.8098582212453158,0.7290052190415942,0.9311377245508982,0.9794568717386034
source,0.043000000000000003,0.809966461097502,0.7291856187952379,0.9311377245508982,0.979423857215565
source,0.044,0.810292045310455,0.7295468038788838,0.9314099074578116,0.9793578281694881
source,0.045,0.8102139494521154,0.7295980993862602,0.9311377245508982,0.9792143234176008
source,0.046,0.8105183807003455,0.7297425742574258,0.931682090364725,0.9792274002360633
source,0.047,0.8104140045722243,0.7297500693151663,0.9314099074578116,0.97917869353087
source,0.048,0.8107184813552445,0.7298946200776485,0.9319542732716385,0.9791917703493324
source,0.049,0.8108794092870633,0.7299813780260709,0.9322264561785519,0.9791996164404098
source,0.05,0.8110750679033468,0.730126020448601,0.9324986390854655,0.9792126932588722
source,0.051000000000000004,0.8112707609187163,0.7302707202029411,0.9327708219923789,0.9792257700773346
source,0.052000000000000005,0.811292669728567,0.7303072348860257,0.9327708219923789,0.9791796787358338
source,0.053,0.8117061616080075,0.7304520222045995,0.9335873707131193,0.9791927555542961
source,0.054,0.8119019416145806,0.7305968669442792,0.9338595536200327,0.9792058323727585
source,0.055,0.8119238936387235,0.730633453651184,0.9338595536200327,0.9791597410312577
source,0.056,0.8121371223036966,0.7308073794881969,0.9341317365269461,0.9791754332134126
source,0.057,0.8121591030866326,0.7308440141264236,0.9341317365269461,0.9791293418719118
source,0.058,0.8121636875467257,0.7308516548932454,0.9341317365269461,0.9790806351667185
source,0.059000000000000004,0.8120511656322132,0.7308455736403335,0.9338595536200327,0.9789318996874463
source,0.06,0.8119642899830162,0.7308822361629476,0.9335873707131193,0.9788858083459455
source,0.061,0.8122562928474042,0.731005997061043,0.9341317365269461,0.9788475630955221
source,0.062,0.8127223119934769,0.7312383298240038,0.9349482852476865,0.9788684860050619
source,0.063,0.8129055453925028,0.7313622635511047,0.9352204681545999,0.9788302407546385
source,0.064,0.8128187417620316,0.7313990461049285,0.9349482852476865,0.9787841494131377
source,0.065,0.812805929887293,0.7313776929803641,0.9349482852476865,0.9787328273442522
source,0.066,0.8128582646059321,0.7314649175114292,0.9349482852476865,0.9787406734353294
source,0.067,0.8132156312282798,0.731697618006124,0.9354926510615134,0.9787615963448693
source,0.068,0.8134642135507743,0.7319304666056725,0.9357648339684268,0.9787825192544091
source,0.069,0.813551576939006,0.7320760722527254,0.9357648339684268,0.9787955960728715
source,0.07,0.8136389750932007,0.7322217358430498,0.9357648339684268,0.9788086728913339
source,0.07100000000000001,0.8137089186619976,0.7323383084577114,0.9357648339684268,0.9788191343461037
source,0.07200000000000001,0.8136047508951093,0.7323461507841732,0.9354926510615134,0.9787704276409104
source,0.073,0.8134703036723823,0.7323035273509036,0.9352204681545999,0.978667783503139
source,0.074,0.8135227880979936,0.7323910013935895,0.9352204681545999,0.9786756295942165
source,0.075,0.8138455408994898,0.7325660121868652,0.9357648339684268,0.9786913217763713
source,0.076,0.8139155731014118,0.7326827325234018,0.9357648339684268,0.9787017832311411
