epoch,train_loss,validation_loss,selection_score,source_ap,transit_ap,victim_ap,path_ap,learning_rate,best_epoch,early_stop_counter,epoch_seconds,maximum_preclip_gradient_norm,train_source_loss,validation_source_loss,train_transit_loss,validation_transit_loss,train_victim_loss,validation_victim_loss,train_path_loss,validation_path_loss
1,3.3087875165026785,2.684724127500298,0.37610996027249854,0.4205277690845216,0.34831333516963525,0.26911624993222066,0.4779711663583903,0.001,1,0,24.11841058731079,88.47564697265625,0.577515968733984,0.45876192863873594,1.1087676860266582,0.991356054561196,0.6567393023000083,0.4491063168374667,0.9657645537148308,0.7854998152831505
2,2.264304919576263,1.8602031641384043,0.4534121841970109,0.4658702906129104,0.4619632570913766,0.3473878638807767,0.5565665838504973,0.001,2,0,24.180242776870728,78.0578384399414,0.4125606137021586,0.33933340277556107,0.7409570788085363,0.5821670591926361,0.42770461091187756,0.38707759454941537,0.6830826067813728,0.551625108429603
3,1.9194772542856664,2.344893355935926,0.43935135139135995,0.39257002229406623,0.49607978917605483,0.3493563316290757,0.5511065725092871,0.001,2,1,23.94739866256714,160.18304443359375,0.3953017928119302,0.5287752073082126,0.5720979493750925,0.6853319828328349,0.38134043848226074,0.5103533803122559,0.5707370670312106,0.620432790592408
4,1.718991892220163,1.5807062264146476,0.4895814978724563,0.4832573756592277,0.5231505399846876,0.38472367934500906,0.5881786517113192,0.001,4,0,23.77680206298828,262.267333984375,0.3811447202396499,0.3143752064284694,0.4751433799426042,0.4857057591574326,0.3575097266134941,0.32204451186446853,0.5051940607803053,0.45858074977784624
5,1.5202215681855398,1.6637782389785747,0.5156385247152251,0.4846567288531828,0.566992596537156,0.42865960923943897,0.6066422730756076,0.001,5,0,25.54118037223816,190.24339294433594,0.31967545733128905,0.3533814129244779,0.4224186543336709,0.48721719901630534,0.3280777000182813,0.33797060522235367,0.4500497603156162,0.4852090321129157
6,1.4933550856574056,1.4512774886451614,0.5219710005709369,0.5341109288835605,0.5474659738689344,0.41992064093603604,0.5994553410231308,0.001,6,0,25.22612500190735,95.52951049804688,0.32100891517171826,0.27088500492721984,0.4000779662107403,0.44661801234886794,0.32448322928353956,0.2973985373593229,0.4477849676739995,0.43637591904911804
7,1.388020910344965,1.231517004327299,0.5472598723946016,0.5509509869166646,0.5578880571683742,0.494481828675705,0.594410524292912,0.001,7,0,24.236538410186768,94.41439819335938,0.2945032870976264,0.23185135034004542,0.3700197680701967,0.34719874851505533,0.3007900889824765,0.27525620480302343,0.4227077683901476,0.37721070696719916
8,1.2796474021737594,1.3149745901273433,0.5605877053337345,0.5583607711243052,0.5927191305730846,0.4901604901316165,0.6117978441013386,0.001,8,0,23.414849996566772,143.8074493408203,0.2451027025672337,0.2881156458860765,0.3578737928059195,0.3408998883392372,0.274707522804237,0.29568197071019414,0.4019633857133814,0.3902770888302975
9,1.229473365765696,2.0992908529547134,0.5646269482308407,0.5655748176593368,0.5541137079820128,0.5388973393236722,0.6085087055330921,0.001,9,0,23.07932448387146,189.52142333984375,0.23370229981543825,0.3364140542454799,0.3406734561872935,0.7114820792012649,0.2610119850660741,0.3522997917191127,0.3940856193825405,0.6990949501631969
10,1.17925663590788,1.1447653596885359,0.5937259119394271,0.5841895772210467,0.5827300649122593,0.604603059143982,0.6081787887952641,0.001,10,0,24.207124948501587,145.4608612060547,0.2211488093827757,0.20903828949459363,0.33372579981748585,0.30752935397378045,0.24361018412989785,0.2771177663733067,0.380771846094782,0.3510799545742391
