epoch,learning_rate,train_loss,maximum_preclip_gradient_norm,validation_loss,validation_selection_score,source_average_precision,source_auroc,source_fixed_0_5_f1,derived_graph_average_precision,derived_graph_auroc,derived_graph_fixed_0_5_balanced_accuracy,exact_set_attack_fixed_0_5,is_best_checkpoint,early_stop_patience_counter,elapsed_seconds
1,0.001,0.4528268437016137,23.167985916137695,0.34900440094875956,0.5786995255019347,0.4316868886427621,0.964152950621719,0.44245793989359156,0.4872713741004957,0.7331103189845948,0.5060572224751885,0.668481219379423,True,0,24.59137511253357
2,0.001,0.3689815264330165,34.46300506591797,0.32916011778330895,0.5997283129014572,0.4564438842226277,0.9679353324778414,0.46124896505005397,0.518090150682732,0.7606630128452871,0.523514340602324,0.7670114316820904,True,0,22.69690990447998
3,0.001,0.3252217963372302,27.10552215576172,0.31612769785511996,0.6120813096820821,0.47724682609774977,0.9722881979453499,0.5494153846153846,0.5215433885874787,0.7877010676677325,0.5989871807814644,0.7945019052803484,True,0,23.779340505599976
4,0.001,0.3294560591021887,38.76285171508789,0.32779142827671,0.6417256060715294,0.5055658909813534,0.9724874009156628,0.5469236331625114,0.5832832414077481,0.8239344564869481,0.5993779018958613,0.776537833424061,True,0,22.775834798812866
5,0.001,0.3048569319766926,35.18049621582031,0.2925423883082462,0.6533631171815665,0.5248620335873219,0.9748703738857352,0.5206995412844037,0.588858027665887,0.8381012171193273,0.5438627027522875,0.811377245508982,True,0,22.066386699676514
6,0.001,0.29880213175386583,34.8299446105957,0.3575533561855745,0.6639514621469521,0.543393941628118,0.977882801981149,0.6503067484662577,0.5911351633504233,0.8390183511655048,0.7440478510707602,0.7599346761023408,True,0,22.520650386810303
7,0.001,0.3051457713005756,54.26073455810547,0.31723854908693494,0.664226243985559,0.5325615948963217,0.9750604484750048,0.5654692177534817,0.6167213376745876,0.8484915705685371,0.606842335207606,0.7909635274904736,True,0,22.1207377910614
8,0.001,0.2874780459300763,41.339576721191406,0.37917075550723656,0.6794520294949241,0.5607904173644486,0.9791354438229302,0.6580090093746196,0.6170918394278693,0.85428953682671,0.7632657657353015,0.7120304844855743,True,0,22.846100568771362
9,0.001,0.27947163779097506,21.712303161621094,0.9695863478637442,0.6350612633673592,0.5000052107694125,0.9717919810703418,0.5472524228858169,0.5684426508602703,0.8180163534769999,0.7613783153040081,0.38922155688622756,False,1,22.714559078216553
10,0.001,0.2864203730818585,44.694698333740234,0.3148201348148239,0.6592405558436946,0.5297932387962001,0.9752020197762573,0.5558646854252293,0.6021737260061207,0.8295817906868563,0.6275302957958654,0.8236254763200871,False,2,24.472145318984985
11,0.001,0.28128097514991623,53.94628143310547,0.27165603222822626,0.6757837400934639,0.5622467009357949,0.979474493985809,0.5339496240821461,0.5991670645164567,0.8520539880052614,0.5946686211534874,0.8062057702776265,False,3,22.361824989318848
