threshold,objective,source_node_f1,source_exact_set_attack,derived_graph_balanced_accuracy
0.0,0.053042657282636685,0.08840442880439447,0.0,0.5
0.001,0.4996292318247743,0.436779984451198,0.5939031028851388,0.5054212785181839
0.002,0.5225443272373369,0.4432171376655668,0.6415351115949919,0.5085836909871244
0.003,0.533638443059189,0.4468279984573852,0.6638541099618944,0.5106166704314434
0.004,0.5411595835495242,0.44956464795906,0.6785519869352205,0.5120849333634515
0.005,0.5468821737625816,0.45184408746313054,0.6894393032117583,0.513779082900384
0.006,0.5511160405571192,0.4538197845249755,0.6970604246053348,0.5150547827277043
0.007,0.5558323141202837,0.4558736717827627,0.7057702776265651,0.5162971590547881
0.008,0.5601834783422708,0.4576819540144724,0.7139357648339685,0.5177089503355652
0.009000000000000001,0.562465205910124,0.45930737003892014,0.7172019597169298,0.5187819117089557
0.01,0.5660368490092302,0.461086637298091,0.723462166575939,0.5199678163848085
0.011,0.5684776439284207,0.4626142550322162,0.7272727272727273,0.5208148911532747
0.012,0.5698681275316161,0.46402445134783044,0.7286336418072945,0.5220572674803585
0.013000000000000001,0.5715996914407673,0.46545874902621065,0.730811105062602,0.5232996438074423
0.014,0.5739586589722018,0.46703144305201844,0.7343494828524768,0.5251067366468369
0.015,0.5749684705753859,0.4681700965768317,0.7351660315732172,0.5261232263689964
0.016,0.5766603026245651,0.46935671921731636,0.7376156777354382,0.5266314712300761
0.017,0.5784915319751205,0.4705942154221523,0.7403375068045727,0.5270600962889302
0.018000000000000002,0.5795870558824447,0.47169426751592364,0.7414262384322264,0.5285283592209383
0.019,0.5811995339981713,0.47274863360065383,0.7438758845944474,0.5295448489430978
0.02,0.5829393527718397,0.47419668938656284,0.7460533478497551,0.531013111875106
0.021,0.5852736197523019,0.4755467605561409,0.7498639085465433,0.5321425448997277
0.022,0.5870725365553161,0.47673040251507504,0.7525857376156777,0.5333849212268115
0.023,0.5882966440186452,0.4778633052642454,0.7539466521502449,0.5341755243440466
0.024,0.5893555979843668,0.47890240745534557,0.7550353837778987,0.5349661274612817
0.025,0.5900376636301068,0.4796762729890275,0.7555797495917257,0.5355873156248236
0.026000000000000002,0.5912743988138023,0.48064876666753303,0.7572128470332063,0.5361520321371345
0.027,0.5931135404870673,0.48189945007688506,0.7599346761023408,0.5371120502080629
0.028,0.5945619741150173,0.48304331922453886,0.7618399564507349,0.5380720682789912
0.029,0.5956273417967767,0.4840931109423687,0.7629286880783887,0.5389191430474575
0.03,0.596235171003342,0.4851061596199775,0.7629286880783887,0.5395968028622304
0.031,0.5970337524986846,0.4860742182363306,0.7634730538922155,0.5403874059794656
0.032,0.5980918587970574,0.48711190764851614,0.7645617855198693,0.5412909523991629
0.033,0.5989818811096954,0.48805091235575265,0.7653783342406096,0.542081555516398
