role,threshold,objective,node_f1,exact_set_attack,node_balanced_accuracy
source,0.0,0.053042657282636685,0.08840442880439447,0.0,0.5
source,0.001,0.5719017013687342,0.5781014565544953,0.5626020685900925,0.9616675437022195
source,0.002,0.5889155948082909,0.5913971581045457,0.5851932498639085,0.9630635385088689
source,0.003,0.5995716145640114,0.5989956958393113,0.6004354926510616,0.9634738814546542
source,0.004,0.6083943878640877,0.6053533755274262,0.61295590636908,0.9641725238117438
source,0.005,0.6154138142086844,0.609794208584062,0.6238432226456179,0.9642225915217324
source,0.006,0.6211099706630197,0.6138441445363518,0.6320087098530213,0.9644534240290679
source,0.007,0.6261211182035034,0.6169338542368314,0.6399020141535111,0.964556103715472
source,0.008,0.6296660518589985,0.619031516299202,0.6456178551986935,0.9645306305809449
source,0.009000000000000001,0.6330140850610726,0.6213453767530307,0.6505171475231355,0.9646261091300365
source,0.01,0.635475124251307,0.6230881902101714,0.6540555253130104,0.9646970642009323
source,0.011,0.6376776163948239,0.62494445773661,0.6567773543821448,0.964732389385097
source,0.012,0.6401233109343534,0.6268431520471848,0.6600435492651061,0.9648677433433408
source,0.013000000000000001,0.6418090715800921,0.6280196556819354,0.6624931954273272,0.9649141749360404
source,0.014,0.6442812713709333,0.6292367043262607,0.6668481219379423,0.9648684238457385
source,0.015,0.6454355459907977,0.630071763731714,0.668481219379423,0.9648243029141652
source,0.016,0.6462757227523009,0.6309276925203927,0.6692977681001633,0.9647340906410912
source,0.017,0.6471238290628412,0.6316153819528573,0.670386499727817,0.9646716621636706
source,0.018000000000000002,0.6485722204968174,0.6323962702346702,0.6728361458900382,0.9646684018462132
source,0.019,0.6497799524195711,0.6331389698736637,0.6747414262384323,0.964708617506564
source,0.02,0.6502745019541024,0.6337817638266069,0.6750136091453457,0.9645435448913721
source,0.021,0.6509981034429163,0.6344434004941365,0.675830157866086,0.9646220058021463
source,0.022,0.6522536266845892,0.635084297060053,0.6780076211213936,0.9646978513492281
source,0.023,0.6530444853920914,0.6354951185495119,0.6793685356559608,0.9646014231438054
source,0.024,0.6544883229332639,0.6362684170099854,0.6818181818181818,0.9646442541678486
source,0.025,0.6551429841600069,0.6366336979694545,0.6829069134458357,0.9644938885298477
source,0.026000000000000002,0.655502009972672,0.6368691637813451,0.6834512792596625,0.9643765374148852
source,0.027,0.6559148154785894,0.6373757176865985,0.683723462166576,0.9643392773694255
source,0.028,0.6564941628581848,0.6377969308387639,0.6845400108873163,0.9643402625743893
source,0.029,0.6572481300026211,0.638327721661055,0.6856287425149701,0.9643056178926221
source,0.03,0.6573941736850533,0.638571127798442,0.6856287425149701,0.9642856801880462
source,0.031,0.6576340166823409,0.6387894108559792,0.6859009254218835,0.9642144204145844
source,0.032,0.657753415479607,0.6389884088514225,0.6859009254218835,0.9641892519826234
source,0.033,0.6581832908474899,0.639341957255343,0.6864452912357104,0.9641336843913165
source,0.034,0.6587662858084624,0.6397692497098034,0.6872618399564507,0.9641833763014735
source,0.035,0.6591731597671995,0.6400844624318142,0.6878062057702776,0.9642199913931682
source,0.036000000000000004,0.6594663512443337,0.6403916596224288,0.6880783886771911,0.9641104863692831
source,0.037,0.6595708432527709,0.6407472682410997,0.6878062057702776,0.9640549187779761
source,0.038,0.6602368449200233,0.6411314499347512,0.6888949373979314,0.9640993799607482
