role,threshold,objective,node_f1,exact_set_attack,node_balanced_accuracy
source,0.0,0.053042657282636685,0.08840442880439447,0.0,0.5
source,0.001,0.5399290799235357,0.5311646886404783,0.5530756668481219,0.9558933234284686
source,0.002,0.559884648066219,0.5473671733783745,0.5786608600979859,0.9583053692553283
source,0.003,0.5714767477679279,0.5568887548990051,0.5933587370713119,0.9598144341058864
source,0.004,0.5802621904112497,0.5633656720971383,0.605606967882417,0.9606699982845246
source,0.005,0.5858865947127627,0.5683847527557115,0.6121393576483397,0.961284949003455
source,0.006,0.5914502982864553,0.5727582997207571,0.6194882961350027,0.9619335591991889
source,0.007,0.5961982902824456,0.5763166932034592,0.6260206859009254,0.9624540165739914
source,0.008,0.5999544579275207,0.5793107777289561,0.6309199782253675,0.9628394602417489
source,0.009000000000000001,0.6033468978744774,0.5818801046955315,0.635547087642896,0.9630647217705006
source,0.01,0.6062967639059527,0.5840747190121893,0.6396298312465977,0.9632811520032112
source,0.011,0.6090709895548998,0.5863395099005181,0.6431682090364725,0.9636002263736931
source,0.012,0.6107888460477748,0.5882953276989316,0.6445291235710398,0.9638261328562098
source,0.013000000000000001,0.6127350887798904,0.5899059681443101,0.6469787697332607,0.9640023474285693
source,0.014,0.61419390538889,0.5912485975316557,0.6486118671747414,0.9641880382507351
source,0.015,0.6167903273750998,0.5930355937108132,0.6524224278715297,0.9644338824378277
source,0.016,0.6185069991268745,0.5942636158556236,0.6548720740337507,0.9645064676674521
source,0.017,0.6199087051152016,0.5955110608751817,0.6565051714752314,0.964676466307463
source,0.018000000000000002,0.6213650664443815,0.5964866875869432,0.6586826347305389,0.9647611431505859
source,0.019,0.622990446390554,0.5975625567224168,0.6611322808927599,0.9648588968121713
source,0.02,0.6238717691104241,0.5984870621083731,0.6619488296135003,0.9649357275642169
source,0.021,0.6246964618523111,0.5993171841976914,0.6627653783342407,0.9649994814978
source,0.022,0.6255343730103473,0.6001693369805915,0.663581927054981,0.9650658507950756
source,0.023,0.6265297763412406,0.6011025214469778,0.6646706586826348,0.9651426815471211
source,0.024,0.6274916420400225,0.6019798098598452,0.6657593903102885,0.9652116662080893
source,0.025,0.6284329085835801,0.6030042216186143,0.6665759390310289,0.9653476651200981
source,0.026000000000000002,0.6292714181766532,0.6036759165219671,0.6676646706586826,0.9654365874856421
source,0.027,0.6300989338892804,0.604329288291243,0.6687534022863364,0.9655228944874938
source,0.028,0.6313866295855625,0.6050238056148415,0.6709308655416439,0.9656144322167305
source,0.029,0.6322026153399902,0.6058394160583942,0.6717474142623843,0.9657216621281219
source,0.03,0.6330579952018134,0.6063577728050547,0.6731083287969516,0.9657896615841264
source,0.031,0.6335623842236313,0.6070169659034755,0.673380511703865,0.9658759685859779
source,0.032,0.6340280589141616,0.6076116351164171,0.6736526946107785,0.9659057227915591
source,0.033,0.6346761167172636,0.6081473656410934,0.6744692433315188,0.9659276309060625
source,0.034,0.6353403279232035,0.608710018503833,0.6752857920522591,0.9660008610894518
source,0.035,0.6358324269271078,0.6091672729677889,0.675830157866086,0.9660123077491856
source,0.036000000000000004,0.6366309032551231,0.6097722457627118,0.6769188894937398,0.9660907686599598
source,0.037,0.6370637177136578,0.6103121479223276,0.6771910724006532,0.9661126767744633
source,0.038,0.6375938933527263,0.6108328634448904,0.6777354382144801,0.9661319695252744
source,0.039,0.638067099518917,0.6112586298459904,0.678279804028307,0.9661868921628164
source,0.04,0.6385885942345817,0.6115834218916046,0.6790963527490473,0.966228737981896
source,0.041,0.6391600802649595,0.6121729880663498,0.6796407185628742,0.9663045835289779
source,0.042,0.6393555390964172,0.6124987527854459,0.6796407185628742,0.9663464293480574
source,0.043000000000000003,0.6401213406620967,0.6130492676431425,0.680729450190528,0.9664170441677542
source,0.044,0.6406699902007624,0.6136007729983673,0.6812738160043549,0.966487658987451
source,0.045,0.6408877605975275,0.6139637236596426,0.6812738160043549,0.9664860288287223
source,0.046,0.6415444719119481,0.6143324214319077,0.6823625476320088,0.9665331053751869
source,0.047,0.6418644794508267,0.6148657673300387,0.6823625476320088,0.9666011048311912
source,0.048,0.6421705566549648,0.6151944407323265,0.6826347305389222,0.9666429506502708
source,0.049,0.6424891902488006,0.6155440414507772,0.6829069134458357,0.9666874118330429
source,0.05,0.6428451458165638,0.6159558454591069,0.6831790963527491,0.9667397191068925
source,0.051000000000000004,0.6434037680216965,0.6163425166538345,0.6839956450734894,0.9667407043118562
source,0.052000000000000005,0.6438320815253444,0.6166934619506966,0.6845400108873163,0.9667851654946282
source,0.053,0.6442234162524698,0.6169827759533543,0.6850843767011432,0.9668217805863228
source,0.054,0.6445030597191657,0.6172673931265715,0.6853565596080566,0.9668096889728243
source,0.055,0.6446367367545641,0.6174901881855691,0.6853565596080566,0.9667897512682482
source,0.056,0.6449943388038464,0.617904736329764,0.6856287425149701,0.9668420585420978
source,0.057,0.6453614828291514,0.6181537324960543,0.686173108328797,0.9668734429064074
source,0.058,0.6456913564692766,0.6183406113537118,0.6867174741426239,0.9668969811796397
source,0.059000000000000004,0.6461086077309166,0.6186731195805606,0.6872618399564507,0.9669388269987194
source,0.06,0.6463547650475747,0.6189019265037152,0.6875340228633642,0.9669675959993366
source,0.061,0.6467223917629622,0.6191517271534762,0.6880783886771911,0.9669989803636463
source,0.062,0.6470312937522688,0.6194851085310449,0.6883505715841045,0.9670408261827259
source,0.063,0.647290329955179,0.6197353802646197,0.688622754491018,0.9670722105470355
source,0.064,0.6474531435613112,0.62000673627484,0.688622754491018,0.9671062102750377
source,0.065,0.6476537253726018,0.6203410392936577,0.688622754491018,0.9671480560941172
source,0.066,0.6479508405311742,0.6206547759533363,0.6888949373979314,0.9671872865495045
source,0.067,0.6481978788828662,0.6208850512682137,0.6891671203048448,0.9672160555501217
source,0.068,0.6484827469984105,0.621178376189512,0.6894393032117583,0.9672526706418163
source,0.069,0.6489981171327686,0.6214929605996151,0.6902558519324986,0.9672919010972034
source,0.07,0.6492959322170782,0.6218078638021889,0.690528034839412,0.9673311315525905
source,0.07100000000000001,0.649543484523597,0.6220389957084446,0.6908002177463255,0.9673599005532079
source,0.07200000000000001,0.6497028120305341,0.6221230862820643,0.6910724006532389,0.9673703620079777
source,0.073,0.6499252573591522,0.6223123732251521,0.6913445835601524,0.96739390028121
source,0.074,0.6500767944630219,0.622564935064935,0.6913445835601524,0.9674252846455197
source,0.075,0.6503246847307516,0.6227966302398754,0.6916167664670658,0.9674540536461369
source,0.076,0.6506359494053244,0.6231339494262211,0.6918889493739793,0.9674958994652165
source,0.077,0.6507472489561343,0.6233194486775712,0.6918889493739793,0.9674707310332555
source,0.078,0.6508232557987736,0.6234461267486366,0.6918889493739793,0.9674864232154103
source,0.079,0.6511095984611727,0.623741909248026,0.6921611322808927,0.9675230383071051
source,0.08,0.6512491569600891,0.6239745067462201,0.6921611322808927,0.9675518073077223
source,0.081,0.6515485049917864,0.6242919648611065,0.6924333151878062,0.9675910377631094
source,0.082,0.651726456483348,0.624588550680376,0.6924333151878062,0.967627652854804
source,0.083,0.6519045771360629,0.6248854184349006,0.6924333151878062,0.9676642679464986
source,0.084,0.6520573868026299,0.6251401012125124,0.6924333151878062,0.9676956523108085
source,0.085,0.652293696536838,0.6253524954982503,0.6927054980947196,0.9677218059477332
source,0.08600000000000001,0.6522945579739599,0.6255353864980624,0.6924333151878062,0.967647930810579
source,0.08700000000000001,0.6523966514746464,0.6257055423325399,0.6924333151878062,0.9676688537201188
source,0.088,0.6527973776235526,0.6258290534335567,0.6932498639085466,0.9676358391970803
source,0.089,0.6527729425517353,0.6259697835851368,0.6929776810016332,0.9675567333325411
source,0.09,0.6528624246350905,0.6261189203907288,0.6929776810016332,0.9675750408783884
source,0.091,0.6529647420973135,0.6262894494944338,0.6929776810016332,0.9675959637879282
source,0.092,0.6533360691604335,0.6265454173904159,0.69352204681546,0.9676273481522379
source,0.093,0.6532887712371147,0.6266480427894934,0.6932498639085466,0.967591718265507
source,0.094,0.6535233381535869,0.6268575323790048,0.69352204681546,0.9675691651972386
source,0.095,0.6532791710016309,0.6269949529395717,0.6927054980947196,0.9674413526275061
source,0.096,0.6533561606267957,0.6271232689815132,0.6927054980947196,0.9674570448096609
source,0.097,0.6534588624927498,0.6272944387581031,0.6927054980947196,0.9674779677192007
source,0.098,0.6534479301166298,0.6274576734025122,0.6924333151878062,0.967401477218354
source,0.099,0.6534394913279282,0.6276250640259519,0.6921611322808927,0.9673736934227006
source,0.1,0.6535166609795725,0.6277536801120257,0.6921611322808927,0.9673893856048554
source,0.101,0.6535914771692755,0.6278783737615307,0.6921611322808927,0.967356371081817
source,0.10200000000000001,0.6535574662196371,0.6280031441167424,0.6918889493739793,0.9673233565587787
source,0.10300000000000001,0.6538595975475208,0.6283252410586062,0.6921611322808927,0.9673625870141658
source,0.10400000000000001,0.6539240609968959,0.628432680140898,0.6921611322808927,0.9673756638326281
source,0.105,0.654050712663281,0.6286437662515397,0.6921611322808927,0.9673531107643596
source,0.106,0.6542314687266928,0.628945026357226,0.6921611322808927,0.9673897258560542
source,0.107,0.6542960664561278,0.6290526892396179,0.6921611322808927,0.9674028026745166
source,0.108,0.6543736129301635,0.6291819333630106,0.6921611322808927,0.9674184948566715
source,0.109,0.65437881978933,0.6293720667328971,0.6918889493739793,0.9673933264247105
source,0.11,0.6545341191100906,0.629630898934165,0.6918889493739793,0.9674247107890201
source,0.111,0.6546118166810009,0.6297603948856819,0.6918889493739793,0.967440402971175
source,0.112,0.654824336334267,0.6299331390365164,0.6921611322808927,0.9674613258807148
source,0.113,0.6549799127278135,0.6301924330257607,0.6921611322808927,0.9674927102450246
source,0.114,0.6551226369765942,0.6304303067737286,0.6921611322808927,0.9675214792456417
source,0.115,0.6552265041239999,0.6306034186860713,0.6921611322808927,0.9675424021551815
source,0.116,0.6553304283295103,0.6307766256952552,0.6921611322808927,0.9675633250647213
source,0.117,0.6553694146264663,0.6308416028568485,0.6921611322808927,0.9675711711557988
source,0.11800000000000001,0.655569287058774,0.6309932683060859,0.6924333151878062,0.9675894787016461
source,0.11900000000000001,0.6555362500745519,0.6311196619369912,0.6921611322808927,0.9675564641786076
source,0.12,0.6556533731130582,0.6313148670011685,0.6921611322808927,0.96758000245184
source,0.121,0.6558096499143511,0.6315753283366567,0.6921611322808927,0.9676113868161497
source,0.122,0.6559139061072123,0.631749088658092,0.6921611322808927,0.9676323097256895
source,0.123,0.6559921359063032,0.6318794716565768,0.6921611322808927,0.9676480019078444
source,0.124,0.6560573520763575,0.631988165273334,0.6921611322808927,0.9676610787263067
