epoch,train_loss,validation_loss,selection_score,source_ap,transit_ap,victim_ap,path_ap,learning_rate,best_epoch,early_stop_counter,epoch_seconds,maximum_preclip_gradient_norm,train_source_loss,validation_source_loss,train_transit_loss,validation_transit_loss,train_victim_loss,validation_victim_loss,train_path_loss,validation_path_loss
1,3.9206515715990258,3.326840482909104,0.2705292488548218,0.3180995137887903,0.19035948852162812,0.19333972653238315,0.39587295477340967,0.001,1,0,25.418598413467407,30.487438201904297,0.812707033686541,0.6200503066734031,1.1854119669210985,1.1102726450368363,0.9095702927855976,0.6803020091196891,1.0129622705927448,0.9162155071589834
2,2.846620441222141,2.8530040834750863,0.339529387465787,0.3199671160383178,0.3321705305466952,0.25013680684189926,0.4898120915357151,0.001,2,0,24.44091820716858,32.514015197753906,0.5244914230295963,0.6040600277911657,0.9823516386708454,0.8584067841294777,0.5607901572046247,0.6783445770560858,0.7789872255247131,0.7121927071348461
3,2.452206253961259,2.6779341204413054,0.3645838273614903,0.3147059407539967,0.389700595391045,0.27165916799817963,0.5241605214399256,0.001,3,0,24.540108680725098,72.03935241699219,0.5079178990103298,0.5388053890084551,0.7908850966859591,0.9120547106896324,0.48977902131136286,0.5186174211221941,0.6636242272491429,0.7084565764033779
4,2.268753594827262,2.260869991124666,0.3900994379237507,0.3202669735837334,0.42579774196193976,0.307759959691516,0.5531496021763335,0.001,4,0,25.20056676864624,94.33073425292969,0.5100634409472509,0.4969544188425154,0.6855471026352744,0.6715757761954653,0.471579167819963,0.5024571115029726,0.6015638863877615,0.5898826884279458
5,2.102997531412238,2.1569734919878107,0.40881384620062344,0.32112260090163847,0.4674072437176001,0.3325214258606322,0.5624744926778692,0.001,5,0,23.991690635681152,102.00582885742188,0.5106075744193225,0.47576853126706137,0.6033350209359979,0.6802710377816991,0.4341847664395933,0.4414346463987806,0.554870162722941,0.5594992871333204
6,2.0674498095070795,1.9868254774222733,0.38647421554182554,0.26547749215632294,0.471819095771437,0.31597358471466636,0.5494139888670141,0.001,5,1,25.364141702651978,196.38706970214844,0.49550075835697505,0.5176881440602348,0.578346280249998,0.5199716820596868,0.4469840514862228,0.4368769142819547,0.5466187159926013,0.5122887451834454
7,1.8960223109998797,1.9060110975803848,0.41160118802350204,0.29555057360793324,0.4959875374738159,0.342360093082815,0.5667455415098217,0.001,7,0,24.23412775993347,67.08696746826172,0.4681410768830382,0.48828549745895855,0.5147613903042871,0.4910504148242993,0.41058014194060766,0.4424848642538029,0.502539703373191,0.4841903164925703
8,1.9916387319197844,2.3202557259288024,0.4280272678834353,0.31716748918910964,0.4997282511611593,0.37827651547766605,0.5668791473349803,0.001,8,0,25.08097815513611,104.96112060546875,0.48709626989895993,0.5671729295494303,0.5546758944780366,0.6261590929228532,0.4171424473040977,0.4978756077901614,0.532724117673684,0.6290480852279322
9,1.8082127824930714,2.353039078328801,0.4506532764427642,0.3533400505630031,0.5162495201251157,0.4062662395066025,0.5701116068296684,0.001,9,0,23.655234575271606,113.95463562011719,0.45226286980211333,0.48607190160763525,0.47098170232404835,0.7264362977541707,0.4010560834160268,0.6008390491949644,0.48391212569407654,0.5396918161162014
10,1.7443878846113743,1.9380900738035278,0.45709882788010614,0.39008280753512936,0.48929741086685197,0.42196533800015207,0.5612914920140815,0.001,10,0,24.263479471206665,74.88590240478516,0.44627701700323275,0.46495914383105086,0.4541484142567608,0.5344617573561035,0.37513483948335574,0.37754898068244125,0.46882761434288467,0.5611201935801012
11,1.7356873570426896,1.7348944729772107,0.4775832897469072,0.404989791088,0.5205067813490871,0.4475414940636329,0.5703714178366361,0.001,11,0,24.994929313659668,139.13597106933594,0.4379580512464894,0.4661584577950177,0.4652800791523453,0.44240907007902097,0.3643201761723068,0.3648840397558298,0.46812905129129667,0.46144292515965407
12,1.6340090669391059,1.8495688112607251,0.4826603662244671,0.4195003499794621,0.5114360218215444,0.46809918509502313,0.5596322975074329,0.001,12,0,23.822327136993408,120.08562469482422,0.4074289303680607,0.6559209895164422,0.43906530913591924,0.4184080889266541,0.3263539361625156,0.3429319778621425,0.46116089485062195,0.43230775679969546
13,1.516729150772421,1.6352734517015868,0.5055849302590253,0.46663950603476667,0.5222490359453749,0.49300458426964183,0.5588983669742056,0.001,13,0,24.190104722976685,50.021751403808594,0.38343436659610763,0.427419055391241,0.39918740192799934,0.45437940988703934,0.2979551726722889,0.3009178935339624,0.4361522066538124,0.4525570958510213
14,1.5639511549265195,1.630701276382115,0.5150975621215208,0.5007365715958916,0.504037411343346,0.49924005764157076,0.5702861169826206,0.001,14,0,25.639423370361328,94.12007904052734,0.3906745095831385,0.40944622713944007,0.4264395469334813,0.42233476437697254,0.28557795682885956,0.34026817747155064,0.4612591361502056,0.45865208976265726
15,1.4441676381831532,1.7398431228038451,0.5280223096750151,0.5296321555388953,0.5015139475179582,0.5258277254889057,0.5614862238081524,0.001,15,0,25.322601795196533,90.65288543701172,0.3498119923617411,0.38913378956826405,0.4067712098541001,0.4235597573010201,0.2548484834167445,0.4523708082326375,0.432735949645132,0.47477877063921736
16,1.4856833597071286,1.6273029517396655,0.515406357140758,0.492110731179968,0.5024988211129788,0.5211042801848444,0.559361812311559,0.001,15,1,23.51559352874756,124.44662475585938,0.36115639171112945,0.38859193679777904,0.42002320168306007,0.4517936175136017,0.2536777338246182,0.3392403159257248,0.450826029659551,0.44767709123981714
17,1.4177588452411563,1.5915923648410373,0.5199463714509234,0.5039325533257064,0.5262629502486604,0.5000734915814062,0.560912474978474,0.001,15,2,24.066070795059204,131.1376953125,0.3307299299440997,0.5207959470621014,0.4146832176296353,0.38862365815671945,0.2347539946888381,0.2623299810925967,0.43759169847039037,0.41984276349821614
18,1.344951904540737,1.402843402567799,0.5457428694625648,0.5415318628684561,0.5261828302585079,0.5517355100394064,0.5690186276377467,0.001,18,0,25.554802179336548,113.54686737060547,0.30812181833311414,0.34398971005113343,0.38953437955329945,0.38152023205012653,0.22525017128196162,0.24965337463113388,0.4220455370759949,0.4276800957980588
19,1.3230315967483213,1.517954927446894,0.5385685070886326,0.5480311434345922,0.49696692890627514,0.5516877703824737,0.5599774461803387,0.001,18,1,25.139404296875,65.61174011230469,0.3023861078834009,0.34004219277912934,0.38607701505828884,0.3814299641739658,0.21586825238004587,0.36996540743120176,0.41870022019526365,0.426517358837152
20,1.3187669700320768,1.3440675099081767,0.5432254652235682,0.5439489547349933,0.5112988779733534,0.5464791007433035,0.5779814206195296,0.001,18,2,24.548071146011353,78.16941833496094,0.29936678525354227,0.27513986411070307,0.386681391660777,0.40288012953520314,0.21560748977519678,0.26384581977532434,0.4171113048320186,0.4022017160137951
21,1.2937216564638736,1.6539816847249467,0.5435271508942503,0.5292544710195727,0.5335400766344355,0.5455450543583046,0.5748976342009674,0.001,18,3,23.793991804122925,142.08102416992188,0.2964527300688185,0.2977223672629316,0.37967109525230547,0.4812622206632909,0.20382021059613237,0.39160651737398267,0.41377761760571596,0.4833905899357217
22,1.2218411003031568,1.343535508232555,0.5454973955556075,0.5438539488338139,0.5325741607027406,0.54172124992556,0.5688367912419412,0.001,18,4,23.02532410621643,81.98316955566406,0.26182729315916436,0.33454451071500474,0.3673121995513124,0.3863994925762235,0.19449104371447487,0.21845271414571643,0.3982105609351803,0.4041387943472442
23,1.2553448452596276,1.2599249455511645,0.5522511803044181,0.5554686510350588,0.5154908374855347,0.5721264975477421,0.5685312561779062,0.001,23,0,23.363776922225952,142.96615600585938,0.2741529863160288,0.24822460748683448,0.37103534121705245,0.40452888254004876,0.2074374056104019,0.2028330629584433,0.40271911412835126,0.40433839157623347
24,1.2419733006061286,1.4007490311545887,0.5387086067375407,0.5549925998770705,0.4963835454587049,0.546578371175667,0.557351738079133,0.001,23,1,23.47181010246277,156.5207061767578,0.2558193114542028,0.3875597476730858,0.3717256161391903,0.39426895867650175,0.2090903575965984,0.2122118637860202,0.40533801610931325,0.40670843439540644
25,1.230815599112025,1.6738277340300696,0.5525771436049223,0.5461539667986129,0.5291576911146616,0.5676445274845965,0.5726519945776196,0.001,25,0,24.454452753067017,185.183837890625,0.26405592253273197,0.3282767873766474,0.3648962797734295,0.6031223381185573,0.197810462779174,0.22812910676763737,0.4040529373609003,0.5142995161723969
26,1.261305913976004,1.236496309058724,0.5630045687904036,0.562788602592745,0.5476591441373718,0.5676515322342928,0.57670159459832,0.001,26,0,23.959552526474,107.94622039794922,0.2777423383256333,0.25871009997176636,0.38737896452100806,0.37958188422766453,0.18770047104406584,0.19403668945015315,0.408484138701493,0.40416763332764005
27,1.2136535157116362,2.0369228876718006,0.5340737959767108,0.5169322290815546,0.5082873298221722,0.5527361708430266,0.5686912604297236,0.001,26,1,24.987353801727295,112.72900390625,0.2574079893409426,0.5015647643142276,0.3644549526649887,0.6252260996816182,0.1887219548722349,0.28375193781170654,0.40306862234224894,0.6263800804642425
28,1.1703440943229593,1.7499804670326555,0.5409641701173626,0.5336463642215378,0.5269061446927087,0.5433745321016988,0.5665004582614974,0.001,26,2,25.390291213989258,72.95198059082031,0.24266432664269708,0.3354769828675807,0.34798058139619686,0.4746687968153302,0.19182024619033727,0.4573092788724302,0.38787894424736896,0.48252540613651884
29,1.151488333785051,1.3064504957747185,0.5590416672761254,0.5610721812829167,0.5144862133414798,0.5885425502165014,0.5748141100087754,0.001,26,3,24.519686222076416,84.53791046142578,0.23920196351869633,0.3726505733084405,0.34283179924318036,0.35722847545631276,0.18563815752568927,0.19236090113224502,0.3838164085089112,0.3842105557178629
30,1.1750843347391449,1.4378909617091504,0.5567340340484631,0.556744258693519,0.5399948849855798,0.5595494021875874,0.5741234232355781,0.001,26,4,24.10489773750305,175.33200073242188,0.23457768470770113,0.27911271004536753,0.34366566890572087,0.39041396501292097,0.21292777076566163,0.3377557845636346,0.3839132118785075,0.4306084976494693
31,1.1320319691728615,1.5579687458954248,0.5237134769136984,0.5352752016683893,0.5034946467884274,0.4957856204568054,0.5665542480093674,0.001,26,5,25.57814908027649,127.17250061035156,0.22984300180069756,0.5480134184942087,0.339351071759375,0.35109330573991077,0.1784946304856856,0.2507646843924224,0.384343262863238,0.40809733406337284
