role,threshold,objective,node_f1,exact_set_attack,node_balanced_accuracy
source,0.0,0.053042657282636685,0.08840442880439447,0.0,0.5
source,0.001,0.724920372773058,0.63262450080213,0.8633641807294502,0.9716968743712335
source,0.002,0.7445589573063425,0.653379427120079,0.8813282525857377,0.9738395377377682
source,0.003,0.7571760590556207,0.6655166217430368,0.8946652150244965,0.9750942673563914
source,0.004,0.7662017317034466,0.67529720662242,0.9025585193249864,0.9761482589244588
source,0.005,0.7723898685953947,0.6821631179547631,0.9077299945563418,0.9768700993035819
source,0.006,0.7768149320359321,0.6873607604336849,0.9109961894393032,0.9772601287449596
source,0.007,0.7804467482847477,0.6912363242597365,0.9142623843222646,0.9776550486625233
source,0.008,0.7835162890883249,0.695263493971378,0.9158954817637452,0.9780117233296637
source,0.009000000000000001,0.7864011233824237,0.6982569984154531,0.9186173108328797,0.9782611680854125
source,0.01,0.7889357194838931,0.7008482278097546,0.9210669569951007,0.9785174737272752
source,0.011,0.7914304080427152,0.7031914893617021,0.9237887860642352,0.978747625732213
source,0.012,0.7926765879907129,0.7049055453991468,0.9243331518780621,0.9789150090085313
source,0.013000000000000001,0.7945531114631567,0.706762897620957,0.9262384322264562,0.9790954691033121
source,0.014,0.7958839827677147,0.7082551953767844,0.92732716385411,0.979190607401205
source,0.015,0.796528043563959,0.7093286300371918,0.92732716385411,0.9791464864696318
source,0.016,0.7972909972446419,0.7102373089624453,0.9278715296679368,0.9791353800610969
source,0.017,0.7982690130599621,0.7115044247787611,0.9284158954817637,0.9791582733805643
source,0.018000000000000002,0.799444941998132,0.712738485257275,0.9295046271094175,0.9792759647467257
source,0.019,0.8003828389455097,0.7141201915649621,0.929776810016331,0.9793580262261561
source,0.02,0.8015071840308245,0.7150868236841088,0.9311377245508982,0.9794495639553928
source,0.021,0.8018834867447189,0.7158954501452083,0.9308655416439847,0.9794767027972813
source,0.022,0.8026042855637698,0.716733870967742,0.9314099074578116,0.9795064570028622
source,0.023,0.8031557586645455,0.7172900822598168,0.9319542732716385,0.9795587642767118
source,0.024,0.8039420308148528,0.7182376253011111,0.9324986390854655,0.9796476866422559
source,0.025,0.8047379771061464,0.71901983663944,0.9333151878062058,0.9797209168256452
source,0.026000000000000002,0.8052499447813934,0.7196916608269096,0.9335873707131193,0.9797836855542646
source,0.027,0.8057289835427761,0.7203086034912718,0.9338595536200327,0.9798412235554991
source,0.028,0.8060775396218909,0.7207080750185206,0.9341317365269461,0.9798291319420005
source,0.029,0.8066779249934088,0.7211643514905571,0.9349482852476865,0.9798222710558868
source,0.03,0.8069296021130932,0.721402358085422,0.9352204681545999,0.97974578055504
source,0.031,0.80753064968821,0.7218597382301232,0.9360370168753402,0.9797389196689263
source,0.032,0.8074391837925985,0.7220702056133219,0.9354926510615134,0.9796598138043873
source,0.033,0.8078772026201348,0.722437326449998,0.9360370168753402,0.9796938135323894
source,0.034,0.8082235429534024,0.7228331050675014,0.9363091997822537,0.9797304286240841
source,0.035,0.8085061729957985,0.7231226998668859,0.9365813826891671,0.9797078755558155
source,0.036000000000000004,0.8087101088923532,0.7234625930278105,0.9365813826891671,0.9797392599201253
source,0.037,0.8087243068721491,0.7236677115987461,0.9363091997822537,0.9797088607607793
source,0.038,0.8089733739624128,0.7239013681445764,0.9365813826891671,0.9796810769651259
source,0.039,0.8093077777859158,0.7242772525791392,0.9368535655960806,0.9796663699879348
source,0.04,0.809393026991728,0.7244193345888261,0.9368535655960806,0.9796794468063972
source,0.041,0.8096724989459029,0.7247036659078421,0.937125748502994,0.9797056004433219
source,0.042,0.8098432317084067,0.7249882205120151,0.937125748502994,0.9797317540802466
source,0.043000000000000003,0.8102318449254086,0.725272998664467,0.9376701143168209,0.9797579077171714
source,0.044,0.810671918992719,0.7256435449007663,0.9382144801306478,0.9797919074451735
source,0.045,0.8108430949812939,0.7259288382150579,0.9382144801306478,0.9798180610820983
source,0.046,0.8111061416564624,0.7261857940690631,0.9384866630375612,0.9798415993553307
source,0.047,0.8112261298674498,0.7263857744207088,0.9384866630375612,0.979859906901178
source,0.048,0.8113290295167598,0.7265572738362255,0.9384866630375612,0.9798755990833328
source,0.049,0.811739818131366,0.7268790109846844,0.9390310288513881,0.9798556613787568
source,0.05,0.8119517419159383,0.7270507620210294,0.9393032117583016,0.9798713535609116
source,0.051000000000000004,0.8120018367011084,0.727315708600922,0.9390310288513881,0.9798461851289506
