degree,router_count,routers,a1_normal_node_activation_rate,g1_normal_node_activation_rate,delta_normal_node_activation_rate,a1_normal_node_mean_probability,g1_normal_node_mean_probability,delta_normal_node_mean_probability,a1_attack_nonattacker_activation_rate,g1_attack_nonattacker_activation_rate,delta_attack_nonattacker_activation_rate
2,4,0-3-12-15,0.006510021257212268,0.009470847251746128,0.00296082599453386,0.020161629728564463,0.0166720613148592,-0.003489568413705263,0.009525255592671323,0.005921651989067719,-0.003603603603603604
3,8,1-2-4-7-8-11-13-14,0.021238232614637108,0.023914363802004252,0.0026761311873671444,0.0304471545771322,0.02733473683275356,-0.0031124177443786413,0.03178965482336269,0.02837837837837838,-0.003411276444984311
4,4,5-6-9-10,0.00011387792286668691,0.00011387792286668691,0.0,0.00037535344234302845,0.001245382630866477,0.0008700291885234486,0.00021932044403954516,1.687080338765732e-05,-0.00020244964065188785
