epoch,train_loss,maximum_preclip_gradient_norm,validation_loss,selection_score,graph_average_precision,graph_auroc,graph_balanced_accuracy_at_0p5,graph_f1_at_0p5,learning_rate_after_scheduler,is_best,best_epoch,early_stop_patience_counter,elapsed_seconds
1,0.6041622029626614,1.6909289360046387,0.6040319143431702,0.5120433284722135,0.3911471178244207,0.6329395391200063,0.5,0.0,0.001,True,1,0,22.319769859313965
2,0.5373096365545432,8.169689178466797,0.42749691352076913,0.6976182042305172,0.5592702931732823,0.8359661152877521,0.6069296710601633,0.4068146618482189,0.001,True,2,0,23.37139892578125
3,0.41704320773714654,16.503740310668945,0.3528840793427532,0.7415427917582349,0.6213087111569113,0.8617768723595584,0.7770039935325357,0.6717827626918534,0.001,True,3,0,24.27597451210022
4,0.36712217593761864,13.146100044250488,0.342171768385484,0.7509469838473637,0.63504986363638,0.8668441040583473,0.8494954256425441,0.7365957879743616,0.001,True,4,0,23.50970196723938
5,0.37198004225258396,21.897871017456055,0.3447441269915984,0.7448531866846614,0.6225250686891171,0.8671813046802057,0.8377885172628643,0.7287245219583945,0.001,False,4,1,21.67468786239624
6,0.35072661064673705,17.78684425354004,0.38840797935561355,0.7567532177844567,0.6441899983158962,0.8693164372530172,0.7772685526128268,0.6739864864864865,0.001,True,6,0,22.274883270263672
7,0.3660937206150104,29.907730102539062,0.33977445233066117,0.7494630821415531,0.6283068212085718,0.8706193430745344,0.8364293857200071,0.7282539682539684,0.001,False,6,1,22.58623504638672
8,0.3493397470564818,64.02916717529297,0.5558457969857967,0.7392900963374407,0.6173340831320514,0.8612461095428299,0.764295351224159,0.6591216631812031,0.001,False,6,2,21.622384786605835
9,0.3451835220715266,9.425032615661621,0.3399670798507535,0.7406754921648732,0.6138342466487742,0.8675167376809721,0.845777211619843,0.7360749609578344,0.001,False,6,3,21.254286766052246
10,0.355295638228633,17.139833450317383,0.3385868497659116,0.7342240798454475,0.6019047049243494,0.8665434547665455,0.8532235690845961,0.7403943891034762,0.001,False,6,4,22.916511297225952
11,0.35721816644240306,22.276844024658203,0.37357033844347354,0.754632782252022,0.6373046738738621,0.8719608906301818,0.8156374275290723,0.7133182844243793,0.0005,False,6,5,22.18481135368347
12,0.339821237986734,5.359013080596924,0.3452991465270748,0.7471341860919363,0.6235119846775538,0.8707563875063189,0.8528468352327524,0.7392051774699162,0.0005,False,6,6,22.591739177703857
13,0.34055106939745644,9.221014022827148,0.3712450689511281,0.7452239941010779,0.6180047214613086,0.8724432667408473,0.7946297580824551,0.6960203217612194,0.0005,False,6,7,24.398528575897217
14,0.34427482128513687,29.9858341217041,0.3377398790679825,0.7225422000246617,0.5837791751089338,0.8613052249403896,0.8528364139536193,0.7423616845582164,0.0005,False,6,8,23.138181924819946
15,0.33873194181038696,41.59550857543945,0.3960378701354961,0.7193212079821933,0.5842873234510952,0.8543550925132916,0.7431075688735882,0.6334474451629263,0.0005,False,6,9,22.849289655685425
16,0.3426466404599977,25.3123836517334,0.3923485684059893,0.7366009121063974,0.6065625951243058,0.8666392290884891,0.7513496325008155,0.6455204557224236,0.00025,False,6,10,22.559374809265137
17,0.3345585322234295,10.175107955932617,0.3450755943588218,0.7411677362252673,0.6147465850877772,0.8675888873627573,0.7992108171278857,0.6985769728331178,0.00025,False,6,11,23.010696172714233
18,0.3333087345487059,9.514657974243164,0.35320752429018226,0.73231453229807,0.6011638527933252,0.8634652118028149,0.7550826023169792,0.649113924050633,0.00025,False,6,12,24.278234720230103
