epoch,learning_rate,train_loss,maximum_preclip_gradient_norm,validation_loss,validation_selection_score,source_average_precision,source_auroc,source_fixed_0_5_f1,derived_graph_average_precision,derived_graph_auroc,derived_graph_fixed_0_5_balanced_accuracy,exact_set_attack_fixed_0_5,is_best_checkpoint,early_stop_patience_counter,elapsed_seconds
12,0.001,0.3420312307226893,30.87856101989746,0.3392599365872594,0.6316202156994031,0.488565529171658,0.9709683429494642,0.5262814040506028,0.5783814615048322,0.8467573805712189,0.6646776984257659,0.5244964616222101,False,1,25.99689245223999
13,0.001,0.36887920704562394,40.264652252197266,0.43427934553735864,0.6459917080868062,0.5009801289001727,0.9715230376074176,0.573019453058923,0.6104835369394617,0.8596918172608108,0.7616087516119168,0.5127925966249319,False,2,26.098103523254395
14,0.001,0.35485102121378675,54.51364517211914,0.36703615231227754,0.6603008260299772,0.5214782930175529,0.9711699017220243,0.5411889995614859,0.6270768163627788,0.858039813958956,0.718452451730418,0.46951551442569406,True,0,24.97599959373474
15,0.001,0.3645738718858505,50.917724609375,0.44681877438288237,0.6587759647553155,0.5177980002318604,0.9728642703096364,0.5905727699530516,0.6266435882479053,0.870589508704627,0.8191042704618896,0.434676102340773,False,1,25.98922562599182
16,0.001,0.34058986920942497,48.55662155151367,0.3423810289128378,0.6531536205532238,0.512592227363455,0.9704931183884692,0.47890104027740726,0.6169369090975156,0.8640047358719118,0.6105686956579479,0.5117038649972782,False,2,27.028860092163086
17,0.001,0.33045019955526067,29.29168128967285,0.31913807755990353,0.6715057542174696,0.5335734483287105,0.9745319672659614,0.5707157437708582,0.6443441529464959,0.8742197566794251,0.7686567641356505,0.5220468154599891,True,0,26.24169158935547
18,0.001,0.3542995376631495,34.22516632080078,0.3178482484238967,0.6728860129528965,0.5391638708864522,0.9721035713251096,0.49746220746796893,0.6411127387135721,0.8566022615220921,0.6345172562241475,0.5013609145345672,True,0,31.178434371948242
19,0.001,0.32702642338827664,27.56682014465332,0.32289720380900006,0.6774586237132134,0.5428807434336445,0.973713077426739,0.49481489588748734,0.6503599305588259,0.8742974090425224,0.6427750901056379,0.514697876973326,True,0,28.04630708694458
20,0.001,0.3197687236222172,81.50358581542969,0.3240557930326401,0.6667893293559395,0.5424223416921556,0.9743466813032237,0.5557254767329359,0.6079659527362228,0.8599520418267721,0.7567366652816715,0.5010887316276538,False,1,25.602832794189453
21,0.001,0.3294730176948221,118.50624084472656,0.2957017480337452,0.6823948866732612,0.5577582237044336,0.9753492258179269,0.5319005651040905,0.6387138734662506,0.8741434569307286,0.7136442149481352,0.5114316820903647,True,0,25.388383388519287
22,0.001,0.32712227648317727,61.28719711303711,0.33882590016947245,0.6759853461016836,0.5440086675915102,0.9711274433943604,0.5228215767634854,0.6447966058293535,0.8588532117029674,0.6758082086233104,0.5097985846488841,False,1,24.92146062850952
23,0.001,0.32824664942467224,52.548160552978516,0.34193151066434185,0.6792750273200018,0.5593395830966368,0.9758297474073282,0.5762294536500965,0.6225911956794055,0.8728389525649196,0.7842169942719239,0.5155144256940664,False,2,24.522947311401367
24,0.001,0.3324872243211726,107.68585205078125,0.3208484748618661,0.6731941996379844,0.5515852313022844,0.9750356572535355,0.5584632341363565,0.6145706786938333,0.8639571023261402,0.7622375636020811,0.4980947196516059,False,3,24.711477994918823
25,0.001,0.32021375980734795,77.49932861328125,0.30518332694682127,0.6875649414341717,0.5651232033839829,0.9754027225603122,0.5322966860791676,0.6446106364084089,0.8771796919949452,0.7140237462524895,0.5117038649972782,True,0,23.194511890411377
26,0.001,0.35066434657006584,68.40674591064453,0.3744383874524142,0.6948527038885296,0.5738047777216301,0.976304863347501,0.5981367551415011,0.6554963967633572,0.8828325903586384,0.8284332827250606,0.49782253674469246,True,0,24.71919012069702
27,0.001,0.30509323666661015,57.96406555175781,0.3960873098665727,0.6768943257255422,0.5509219520419802,0.9749549883776849,0.591132656310817,0.6307784104405236,0.8743870812290445,0.8214641214726429,0.47468698965704953,False,1,26.1461398601532
28,0.001,0.3177041988836296,68.09650421142578,0.7476236100093311,0.6814954479065664,0.5608043865439584,0.9746492289450781,0.6008613264427217,0.6297237895932707,0.8746260482300487,0.8345864178577563,0.4477408818726184,False,2,24.257736206054688
29,0.001,0.30454757344463484,44.72489547729492,0.3368537425994873,0.6788421358444751,0.5620142918591959,0.9758708483979128,0.5802841153680586,0.6154691112615954,0.8643777961460081,0.8023545696663432,0.5070767555797496,False,3,24.583212852478027
30,0.001,0.28926715488135907,71.03341674804688,0.6587242120222723,0.6695823459995947,0.5427557830888957,0.9728236430186892,0.5772420742578095,0.6199941748018978,0.8628008475727765,0.8163860073761753,0.46624931954273274,False,4,23.952486515045166
31,0.001,0.30478982345661626,108.26762390136719,0.40872323855586434,0.672561249812088,0.5514728775107518,0.9746988003848687,0.5699835884382222,0.6126004438419795,0.8661437572111256,0.7902668388503811,0.49700598802395207,False,5,23.470953941345215
32,0.0005,0.2651842636250377,32.269386291503906,0.29877879975856036,0.6864982927436759,0.5701111114795518,0.9766055413005539,0.5659731032732809,0.629165406715046,0.8722111089237014,0.7800594572401083,0.5095264017419706,False,6,23.574139833450317
33,0.0005,0.2716701586070546,93.5838394165039,0.33552986208354224,0.6936179665865991,0.5814714492900722,0.9775719331379197,0.5895162649587055,0.6339570346283325,0.8761036564979165,0.8128842423988296,0.5160587915078934,False,7,23.767106771469116
34,0.0005,0.2761415067985936,59.64177322387695,0.37772126528190625,0.6782039028023896,0.558502659319299,0.9756470500057425,0.5855809660547636,0.6201632425652178,0.8698698102491036,0.8200431693034245,0.4980947196516059,False,8,25.867831230163574
35,0.0005,0.2668551332736591,43.5684928894043,0.31525286061553665,0.6858668400558924,0.5743369101772658,0.9773052453203808,0.5700985585412051,0.617488294548657,0.8720093234480993,0.7799928102396353,0.5092542188350572,False,9,23.505313396453857
36,0.0005,0.26572429664694003,78.30854034423828,0.4027489527279694,0.6871100019468439,0.5721960221222626,0.9767642597387144,0.5889750862923345,0.6272837038041359,0.872173681468408,0.8217566550780403,0.5046271094175285,False,10,23.489464282989502
37,0.00025,0.25816723036858813,46.32394790649414,0.2961376546519317,0.6905942603423634,0.5790420574449281,0.9774951528875031,0.5676409317593586,0.6267977735920942,0.8726024756040622,0.7765813630147758,0.5149700598802395,False,11,24.758682012557983
38,0.00025,0.25034111234314393,93.7103042602539,0.29030968216491687,0.6866475737066055,0.5747936254925285,0.9772362527597165,0.546796397264813,0.619766791081648,0.8697063590952682,0.745996876198524,0.5168753402286337,False,12,24.454426050186157
