epoch,train_loss,maximum_preclip_gradient_norm,validation_loss,selection_score,graph_average_precision,graph_auroc,graph_balanced_accuracy_at_0p5,graph_f1_at_0p5,learning_rate_after_scheduler,is_best,best_epoch,early_stop_patience_counter,elapsed_seconds
34,0.32425399626537865,20.888395309448242,0.3487478380078405,0.7647908509480683,0.6520482704941605,0.8775334314019763,0.78345169119223,0.6834541211153421,0.000125,False,32,2,23.957788944244385
35,0.3227161170640652,14.68526554107666,0.3512018979128598,0.7622899986580336,0.6489096539155527,0.8756703434005144,0.7809585461805304,0.6803540693385788,0.000125,False,32,3,25.05964756011963
36,0.3211687677613285,9.918794631958008,0.35795920908374956,0.7598435231252129,0.6458255940516342,0.8738614521987915,0.7706987815034654,0.6691842900302115,0.000125,False,32,4,22.601452589035034
37,0.3236701887011633,15.813872337341309,0.36156180379186703,0.7635778070503377,0.6493740855504899,0.8777815285501855,0.74730454691168,0.6421179948931595,6.25e-05,False,32,5,23.975963354110718
38,0.3184536070245751,8.107105255126953,0.3527252434313982,0.7670932814373703,0.6549373247348019,0.8792492381399388,0.7847968354725341,0.6853766617429837,6.25e-05,True,38,0,23.589377403259277
39,0.3182699602286601,9.601627349853516,0.35515232313790696,0.7671869946380618,0.6539662369019472,0.8804077523741765,0.7789281182588311,0.6795337761624264,6.25e-05,False,38,1,21.814160108566284
40,0.3181694797224137,11.452142715454102,0.3498932083980638,0.7660377044574262,0.6531425595797424,0.8789328493351101,0.784894008520733,0.6858554663372451,6.25e-05,False,38,2,22.192942142486572
41,0.31873148204024226,10.232359886169434,0.3600405573388169,0.766557426224511,0.6545035564464524,0.8786112960025695,0.7586326925179151,0.6559519142819811,6.25e-05,False,38,3,21.145758390426636
42,0.31596094357485893,9.701008796691895,0.3679732004344692,0.7659525688337188,0.6542785142073737,0.8776266234600639,0.7492718938163265,0.6444978632478633,6.25e-05,False,38,4,21.402819395065308
43,0.3184155899578661,11.907938003540039,0.3517323567568875,0.7687843582887172,0.6574108750844136,0.8801578414930207,0.7880760031572479,0.6891394949742583,6.25e-05,True,43,0,21.180343866348267
44,0.31658399725872327,8.835951805114746,0.3546814859522409,0.7661952437924202,0.6545878859171159,0.8778026016677244,0.7796271432328885,0.6798704534130543,6.25e-05,False,43,1,22.494595766067505
45,0.31596317048231903,6.5596604347229,0.3591622836212241,0.766404633615089,0.6546304850528648,0.8781787821773133,0.7718096468213131,0.6713197969543147,6.25e-05,False,43,2,22.96577787399292
46,0.3163650377943929,11.53355598449707,0.3508884741200341,0.7669659604035616,0.6545133291959638,0.8794185916111593,0.7887055836783217,0.6894364479141254,6.25e-05,False,43,3,22.511823177337646
47,0.3166529209252499,11.795129776000977,0.35025535110921846,0.7668712387106655,0.6551890671668663,0.8785534102544649,0.7922190303254919,0.6928372991907236,6.25e-05,False,43,4,23.269335508346558
48,0.31429373767422636,9.577305793762207,0.3483709279985416,0.7688478334963426,0.6571455519528303,0.8805501150398548,0.7967563445915529,0.6980043279634528,3.125e-05,False,43,5,23.012126445770264
49,0.3129965041128059,6.537786483764648,0.3673124351796824,0.767919525897446,0.6565466990709297,0.8792923527239626,0.7486858121447313,0.6440769127336292,3.125e-05,False,43,6,22.825153350830078
50,0.31493307346697325,10.375457763671875,0.349392038461958,0.7680347445981612,0.6564765794042672,0.8795929097920552,0.7919310771643153,0.6928484848484848,3.125e-05,False,43,7,23.812716960906982
51,0.313903558488019,10.370170593261719,0.3604651359914972,0.7658447612821413,0.6536283717279796,0.878061150836303,0.7638616538613021,0.661944623309723,3.125e-05,False,43,8,23.629361152648926
52,0.3133915061605183,8.190346717834473,0.3550751085177844,0.7677471887537085,0.6563014880537638,0.8791928894536533,0.779624345780378,0.6800649107477219,3.125e-05,False,43,9,23.51654291152954
53,0.31247642898618694,7.948363304138184,0.3646339827037558,0.7675747307932935,0.6563144923481127,0.8788349692384744,0.7611879040858669,0.6590406863382295,1.5625e-05,False,43,10,24.51524066925049
54,0.3134706546591369,8.92136001586914,0.35881920590863525,0.7673025291651862,0.6559076100128464,0.8786974483175259,0.7716967035188509,0.6711494544531844,1.5625e-05,False,43,11,23.5945827960968
55,0.3116289238594306,6.999223232269287,0.3735028675080564,0.7669816619823614,0.6555496480002257,0.878413675964497,0.7445437994372879,0.6386145311865782,1.5625e-05,False,43,12,22.767359018325806
