epoch,learning_rate,train_loss,maximum_preclip_gradient_norm,validation_loss,validation_selection_score,source_average_precision,source_auroc,source_fixed_0_5_f1,derived_graph_average_precision,derived_graph_auroc,derived_graph_fixed_0_5_balanced_accuracy,exact_set_attack_fixed_0_5,is_best_checkpoint,early_stop_patience_counter,elapsed_seconds
1,0.001,0.7860271006527816,29.607521057128906,0.46378673812895443,0.5872278586376734,0.4268910549970923,0.9565618332409577,0.34410617876424715,0.5385674913155512,0.7901657924063982,0.5076569964164326,0.3592814371257485,True,0,24.604182481765747
2,0.001,0.492722379457236,35.82120132446289,0.4040623351379677,0.610168302721201,0.4539531654798417,0.9624170725163781,0.3849690687176057,0.5703498074087426,0.8145278840843889,0.5179523901864629,0.46271094175285793,True,0,23.356525421142578
3,0.001,0.44557332675357714,37.70631408691406,0.41866296575443956,0.6125781657063575,0.4525515995919986,0.961856114527899,0.46408271531424244,0.583353349113534,0.8309592901184509,0.598344873388529,0.46706586826347307,True,0,22.840476989746094
4,0.001,0.4027876223195147,26.2270450592041,0.4128309954171893,0.6009717816670185,0.4473481416316596,0.9635313760075597,0.49548109616111125,0.5456594673971952,0.818866978858268,0.6629975361513866,0.46869896570495373,False,1,24.072566270828247
5,0.001,0.3962746994033716,38.3114013671875,0.3350103038480912,0.6202291938428475,0.46357944714147775,0.9681997793208593,0.4753145425891958,0.5855581017675752,0.8468938870313668,0.6180099808186982,0.49292324442025043,True,0,22.64425563812256
6,0.001,0.38070908650087765,39.0136833190918,0.31587992264088693,0.6195127236989527,0.47399710118421673,0.9696250588654324,0.4853038440170374,0.5604316335619449,0.8405451300409633,0.61924218179654,0.4972781709308655,False,1,24.079840421676636
7,0.001,0.3763679088736105,40.17069625854492,0.3292744640037322,0.6239646916554372,0.4784028824883343,0.9705368784732072,0.5299551489589212,0.568516123171873,0.8484766918101289,0.7056613614260687,0.4899292324442025,True,0,23.31266474723816
8,0.001,0.358383814253129,24.9080810546875,0.3187721909843338,0.6161302916549627,0.46755103889279637,0.9685594344305075,0.4754590121541246,0.5608596544037507,0.8347539114841758,0.6052400097437423,0.4940119760479042,False,1,22.725792169570923
9,0.001,0.33055100398369064,23.603635787963867,0.30562929293357244,0.6297747662863457,0.4792165665707118,0.9702255734538971,0.5271551599153305,0.5904403585500616,0.8526279883709592,0.7229610229404633,0.4874795862819815,True,0,24.033993005752563
10,0.001,0.33367756889949374,48.05399703979492,0.31403101084332813,0.633989344915296,0.4898729565775564,0.9712023057114024,0.5419024683925346,0.5850091607946688,0.8543162970729793,0.743294629296964,0.48611867174741424,True,0,23.154478549957275
11,0.001,0.33257176944672157,51.301292419433594,0.2898801387422082,0.6375710723860991,0.4960388555818272,0.9718928889677504,0.5188559142218575,0.5863136894129917,0.8525930509558126,0.6904399611971819,0.5010887316276538,True,0,24.391927242279053
12,0.001,0.32013760872171,23.664100646972656,0.3026172871181639,0.6398620329884601,0.4961502892267443,0.9718820361958886,0.5579631299157521,0.5952655173044633,0.8557557400958807,0.7819415894375079,0.4839412084921067,True,0,23.53234624862671
13,0.001,0.3194213222859982,70.3587417602539,0.4668033594220382,0.6308826311104838,0.485280203016869,0.9708256070072923,0.5789473684210527,0.5821445114009051,0.8526746996796394,0.8213824727488162,0.4412084921066957,False,1,23.403100967407227
14,0.001,0.3006241695878783,31.16380500793457,0.3682100413174465,0.6443188241906991,0.4938157676503464,0.9706838655804404,0.5654615308836568,0.6189598958816632,0.8579554600063278,0.8015914492144323,0.4335873707131192,True,0,23.910919904708862
15,0.001,0.30810578823916995,27.579835891723633,0.7812024000199514,0.6031856979187894,0.44842558124902604,0.9634894001256255,0.514005963117017,0.55240222905148,0.8214829965917806,0.7674288976721384,0.47550353837778986,False,1,24.02185821533203
16,0.001,0.30467192772759427,29.654987335205078,0.30945066923078146,0.6486675028552763,0.5136086720446978,0.9736754703589124,0.5821758881009182,0.5937771969727971,0.8600754678908401,0.8366710118379583,0.49156232988568316,True,0,21.534623384475708
17,0.001,0.3055481125539288,40.008270263671875,0.2975652093783801,0.6522651160265194,0.5212238271827229,0.9747857345661689,0.5759566326530612,0.5918270751744632,0.8558219874602808,0.8215597574590229,0.497550353837779,True,0,23.293344259262085
18,0.001,0.2778440195265079,31.767690658569336,0.6188020264660871,0.6547972395950383,0.5135251428355313,0.9715493043792767,0.5741362144621851,0.6205893683298143,0.8606958260409997,0.8430993732599692,0.47604790419161674,True,0,23.072760581970215
19,0.001,0.2837444532487319,28.093721389770508,0.2592582864399005,0.6528893435760512,0.5200967178536644,0.9752789625347091,0.5555689853145585,0.5960849760621671,0.8549261878321514,0.7695956629771854,0.5103429504627109,False,1,23.544859170913696
20,0.001,0.2768940735875182,25.725324630737305,0.26693454106953257,0.6434538579045276,0.5116560264014152,0.9759247121940375,0.5703381612287671,0.5745786666212424,0.8500213928263972,0.8078371462098699,0.5029940119760479,False,2,22.01222014427185
21,0.001,0.278628386263182,30.17322540283203,0.2783774054141794,0.6559760818750717,0.5316474949245082,0.9763929991290133,0.5495999518739096,0.5842163385222572,0.8545255987808763,0.7698187521295992,0.5097985846488841,True,0,23.557703256607056
22,0.001,0.27393309610316013,31.467613220214844,0.2598146046791345,0.6585842151818706,0.52861603016285,0.9757736330441943,0.5795588375720151,0.6013311673575881,0.8550538408162216,0.8129297701699093,0.5234077299945563,True,0,23.41276788711548
23,0.001,0.2580680582877613,20.073293685913086,0.2637227865775731,0.6478000060541246,0.513923057523523,0.9761261251043507,0.5931672969096362,0.5872277840651018,0.8569322072121646,0.8288751265155583,0.5242242787152966,False,1,24.233581066131592
24,0.001,0.2779634562620051,34.78020095825195,0.2661409030548305,0.6421170686567135,0.49996064887188557,0.9745946087530462,0.5844500591678127,0.5939523681300363,0.8571185759577217,0.8103033311572637,0.5234077299945563,False,2,22.15486979484558
25,0.001,0.2688272864045274,54.37122344970703,0.24934350043573295,0.6486269227005576,0.5214992060447506,0.9768482518474596,0.5767748001880583,0.5746610268652693,0.8471052022902467,0.7601982207218313,0.5585193249863909,False,3,22.572001695632935
26,0.001,0.2560279695201142,48.364837646484375,0.44527717020319796,0.6389638556391595,0.4923042942206645,0.9746435727626286,0.6230246612364401,0.5966032613526806,0.8578714749485361,0.846038450646605,0.5386499727817093,False,4,23.32627248764038
