threshold,objective,source_node_f1,source_exact_set_attack,derived_graph_balanced_accuracy
0.0,0.053042657282636685,0.08840442880439447,0.0,0.5
0.001,0.5137596194921785,0.5004322455154527,0.5337506804572673,0.6311938211590454
0.002,0.5334716872515328,0.5194950911640953,0.5544365813826891,0.6587288388088189
0.003,0.546284414579039,0.5315954178748816,0.568317909635275,0.6755907143759179
0.004,0.5535709750389689,0.539384758797483,0.5748502994011976,0.6859250265512059
0.005,0.5612163410125935,0.5457761009255437,0.5843767011431682,0.6951863773531033
0.006,0.5666812696549783,0.550710844090179,0.5906369080021775,0.7026406353156062
0.007,0.571413883331853,0.5549694281261239,0.5960805661404464,0.7092478185096427
0.008,0.5756798896886974,0.5591761543804548,0.6004354926510616,0.7146126253765955
0.009000000000000001,0.5788713455675449,0.5623177842565598,0.6037016875340229,0.7194127157312376
0.01,0.5825663045756067,0.5653913096583102,0.6083287969515514,0.7235351462711065
0.011,0.5853187695028943,0.5678012879484821,0.6115949918345128,0.7267540303912782
0.012,0.5875427864138721,0.5700563406299067,0.6137724550898204,0.730142329465143
0.013000000000000001,0.590672557570554,0.5721878862793573,0.6183995645073489,0.732852968724235
0.014,0.5930157825552442,0.5744601638123604,0.62084921066957,0.735620079634558
0.015,0.595177202152173,0.5762479770944853,0.6235710397387044,0.7379918889862634
0.016,0.5971059192721506,0.5780108634575764,0.625748502994012,0.7407025282453554
0.017,0.598589822608727,0.5795767593288255,0.6271094175285792,0.7430178659458297
0.018000000000000002,0.5996587643254768,0.5809954183141907,0.6276537833424061,0.7448249587852244
0.019,0.6013202275402516,0.5824943367732193,0.6295590636908002,0.7469708815320055
0.02,0.6032721529106151,0.5842959035536198,0.6317365269461078,0.749342690883711
0.021,0.6049170273192817,0.5857671740024681,0.6336418072945019,0.7518274435378786
0.022,0.6061198799524945,0.5872275625773294,0.6344583560152423,0.7539168946334286
0.023,0.6071824454178767,0.5882726839345305,0.635547087642896,0.7552722142629746
0.024,0.6086152368105762,0.5897533932326514,0.6369080021774632,0.7572487220560624
0.025,0.6096422402290298,0.590920699782914,0.6377245508982036,0.7587169849880706
0.026000000000000002,0.6109764152217788,0.5922370484144508,0.6390854654327708,0.7600723046176165
0.027,0.6121264201503416,0.5930649916677349,0.6407185628742516,0.7613146809447003
0.028,0.6126746378856103,0.5939786878931826,0.6407185628742516,0.7627264722254774
0.029,0.6134422937588884,0.594895203806095,0.6412629286880784,0.7641947351574856
0.03,0.6145780975695729,0.5956994785295822,0.6428960261295591,0.7649853382747207
0.031,0.615268179339804,0.5964867042707493,0.643440391943386,0.7662277146018044
0.032,0.6162188073915424,0.5975267185431532,0.6442569406641263,0.7671312610215018
0.033,0.6170991878425179,0.5980867429384009,0.6456178551986935,0.7679218641387369
0.034,0.6178205585135481,0.5987446615762909,0.6464344039194339,0.768655995604741
0.035,0.6186204432644677,0.5995334370139969,0.6472509526401742,0.7695595420244383
0.036000000000000004,0.619234896762074,0.6001946156341226,0.6477953184540011,0.7704630884441357
0.037,0.6198967242710265,0.60075329566855,0.6486118671747414,0.7714231065150641
0.038,0.6204001464784863,0.6014108774097071,0.6488840500816548,0.7722701812835302
0.039,0.6212554185807315,0.6022919650996224,0.6497005988023952,0.7736255009130761
0.04,0.6220442076983183,0.6028807925438311,0.6507893304300489,0.774190217425387
0.041,0.6227340919544452,0.6036676890948247,0.6513336962438759,0.7749243488913911
0.042,0.6230534824166856,0.604200006531892,0.6513336962438759,0.7756584803573952
0.043000000000000003,0.6236386316492875,0.604812344710344,0.6518780620577028,0.7761102535672438
0.044,0.6242483035001092,0.6054655539191621,0.6524224278715297,0.776900856684479
0.045,0.6246172479144355,0.6060804612763727,0.6524224278715297,0.7777479314529452
0.046,0.6252046888118267,0.6066966188961401,0.6529667936853566,0.7786514778726426
0.047,0.6256122507393105,0.6071944335040041,0.65323897659227,0.7796114959435709
0.048,0.6262585200010173,0.6077271831263552,0.6540555253130104,0.7804585707120371
0.049,0.6266671303730975,0.6082267451418801,0.6543277082199238,0.7810232872243479
0.05,0.6270889796332397,0.6085669166995658,0.6548720740337507,0.7813621171317344
0.051000000000000004,0.6275585919286071,0.6091681485872357,0.6551442569406641,0.781757418690352
0.052000000000000005,0.6280533880003891,0.6096298981643212,0.655688622754491,0.7822656635514318
0.053,0.6283516490028356,0.6101269998350652,0.655688622754491,0.7828303800637426
0.054,0.6288110540878464,0.6107112197054744,0.6559608056614045,0.7836209831809777
0.055,0.6292830532258104,0.611134974392863,0.6565051714752314,0.7840162847395953
0.056,0.6296468842011393,0.6117413593517447,0.6565051714752314,0.7846374729031371
0.057,0.6299263106131298,0.6122070700383954,0.6565051714752314,0.7853151327179102
0.058,0.6302785093204255,0.6126126126126126,0.6567773543821448,0.7857104342765278
0.059000000000000004,0.6305343483353377,0.6130390109707997,0.6567773543821448,0.7862751507888386
0.06,0.6310449185490823,0.6135270507844893,0.6573217201959717,0.7868398673011494
0.061,0.6314103953379475,0.6139547234946557,0.6575939031028851,0.787235168859767
0.062,0.6316918481892988,0.6144238115802412,0.6575939031028851,0.7880257719770021
0.063,0.632166949079882,0.6148527358553287,0.658138268916712,0.7885340168380819
0.064,0.6327161082924818,0.6154050906671104,0.6586826347305389,0.7890987333503927
0.065,0.6330216554081218,0.6157328805885681,0.6589548176374523,0.7896069782114724
0.066,0.6333397243400567,0.6160815402038505,0.6592270005443658,0.7899458081188588
0.067,0.6336550163576466,0.6164255716285582,0.6594991834512792,0.7903975813287076
0.068,0.6341318254963764,0.6168573429838898,0.6600435492651061,0.7906799395848629
0.069,0.634415977687216,0.6173309299686227,0.6600435492651061,0.791414071050867
0.07,0.634626283805438,0.6176814401656592,0.6600435492651061,0.7916964293070224
0.07100000000000001,0.6349457020387049,0.6180323486164951,0.6603157321720196,0.7920352592144089
0.07200000000000001,0.6352529539144139,0.6183629798047345,0.660587915078933,0.7923740891217954
0.073,0.635389462449274,0.6185904940295013,0.660587915078933,0.7926564473779508
0.074,0.6358556636373529,0.6190045854670817,0.6611322808927599,0.7930517489365685
0.075,0.6360048962847784,0.6192533065461242,0.6611322808927599,0.7932776355414928
0.076,0.6361168994953676,0.6194399785637728,0.6611322808927599,0.7933905788439549
0.077,0.6361916058244406,0.6195644891122278,0.6611322808927599,0.7935599937976481
0.078,0.6365621878129399,0.6200006704884509,0.6614044637996733,0.7941247103099589
0.079,0.6371259092013892,0.6203958403220395,0.6622210125204138,0.7942941252636522
0.08,0.6375685573487337,0.6207706766917293,0.6627653783342407,0.7945200118685766
0.081,0.6380087251759379,0.6211413791945182,0.6633097441480675,0.7949717850784253
0.082,0.6383266454967021,0.6213083358532406,0.6638541099618944,0.7950847283808873
0.083,0.6388537746170349,0.6216425185733016,0.6646706586826348,0.7953670866370428
0.084,0.6391172710758259,0.6220816793379533,0.6646706586826348,0.7958188598468914
0.085,0.6393894477454346,0.6223538518493589,0.6649428415895482,0.7961012181030469
0.08600000000000001,0.6399927527897716,0.6228149944427603,0.6657593903102885,0.7965529913128955
0.08700000000000001,0.6399693514765618,0.6229574475253529,0.6654872074033751,0.7967788779178198
0.088,0.6400827233495948,0.6231464006470747,0.6654872074033751,0.7970612361739753
0.089,0.6401809252390884,0.6233100704628973,0.6654872074033751,0.7974000660813617
0.09,0.6406967706139853,0.6236254469405653,0.6663037561241154,0.7976259526862861
0.091,0.6409445311717163,0.6238569259321748,0.6665759390310289,0.7980777258961347
0.092,0.6410708819415255,0.6240675105485233,0.6665759390310289,0.798247140849828
0.093,0.6413567895539416,0.6243625679646078,0.6668481219379423,0.7986424424084455
0.094,0.6417517378111175,0.6246579045173498,0.6673924877517692,0.7989248006646009
0.095,0.6419291074625371,0.6249535206030491,0.6673924877517692,0.7994330455256806
0.096,0.6419698751846956,0.625202922077922,0.6671203048448557,0.7996024604793739
0.097,0.6422891429590076,0.6253721244925575,0.6676646706586826,0.7997154037818361
0.098,0.6422285411366431,0.6254525767265591,0.6673924877517692,0.7997154037818361
0.099,0.6424771471206933,0.6256854647620337,0.6676646706586826,0.7999412903867604
0.1,0.6425661221994812,0.6258337565600135,0.6676646706586826,0.8001671769916847
0.101,0.6428912533850433,0.6261941865980081,0.6679368535655961,0.800393063596609
0.10200000000000001,0.6432038911804213,0.6265337943190292,0.6682090364725095,0.8006754218527645
