epoch,train_loss,maximum_preclip_gradient_norm,validation_loss,selection_score,graph_average_precision,graph_auroc,graph_balanced_accuracy_at_0p5,graph_f1_at_0p5,learning_rate_after_scheduler,is_best,best_epoch,early_stop_patience_counter,elapsed_seconds
1,0.5958895668031905,4.963987350463867,0.5613269926944455,0.6943062540310045,0.5792691796050558,0.8093433284569534,0.741314155884383,0.6242749731471536,0.001,True,1,0,22.619975805282593
2,0.5100210798303876,14.022337913513184,0.41096728408321415,0.7544671362391173,0.6460286434012549,0.8629056290769797,0.7188260807173874,0.6031611628563365,0.001,True,2,0,21.41622829437256
3,0.4030348378997693,26.34256935119629,0.35031729232458014,0.7578385368562672,0.6429423185683268,0.8727347551442077,0.8028280461890765,0.7008310249307479,0.001,True,3,0,22.276395320892334
4,0.4249673914233856,59.91920471191406,0.3458583586745792,0.7619984662213293,0.6475886764040653,0.8764082560385933,0.8206867985695242,0.7174348697394789,0.001,True,4,0,22.322274446487427
5,0.37100251845078264,30.03756332397461,0.3404681354494692,0.740612324477258,0.613960527383501,0.8672641215710148,0.8465009218067141,0.7402832499201364,0.001,False,4,1,22.742993116378784
6,0.3661357275384544,17.252132415771484,0.3436405672043524,0.7305528444924108,0.6075184510738435,0.853587237910978,0.854227086005003,0.7418960244648317,0.001,False,4,2,34.9018714427948
7,0.35474926062907086,20.60757827758789,1.4724862438508834,0.7323285924176407,0.6163167996672639,0.8483403851680175,0.5295366717742207,0.13109906357811732,0.001,False,4,3,27.406856298446655
8,0.38204654765890905,52.49332809448242,0.3687890213111351,0.7800691475583759,0.6793972616283553,0.8807410334883963,0.8495641015646183,0.7345301373984555,0.001,True,8,0,22.55639624595642
9,0.36885951083979923,20.399593353271484,0.33358130289068016,0.7908217158610478,0.6969930966856566,0.8846503350364389,0.8269368300792914,0.7238516878804648,0.001,True,9,0,22.928774118423462
10,0.35433447917317173,12.723355293273926,0.3600074593287014,0.7683023750634617,0.6630364924701113,0.873568257656812,0.7930098793726181,0.6913725953027263,0.001,False,9,1,23.25626254081726
11,0.34752193529508074,20.253704071044922,0.3427149265585884,0.7560243400713083,0.6400962126112029,0.8719524675314135,0.759844788727164,0.6557251908396946,0.001,False,9,2,22.748260498046875
12,0.3491651699338988,17.657737731933594,0.34255132691918055,0.7711721657806436,0.6622370286608761,0.8801073029004111,0.8508303945736062,0.7381607088298197,0.001,False,9,3,22.539021730422974
13,0.3470766750103194,21.403114318847656,0.34864579847184785,0.7540478297485089,0.63897983955262,0.8691158199443977,0.7687316805287099,0.6650215916101172,0.001,False,9,4,22.779423236846924
14,0.34622534598812316,14.182071685791016,0.3310879391271949,0.7848980263001146,0.6843750962502027,0.8854209563500266,0.8436297825524793,0.7410402097902098,0.0005,False,9,5,22.871318578720093
15,0.3342023994165717,8.202466011047363,0.35621372698824066,0.7664618959005176,0.6560675744659045,0.8768562173351307,0.7634681352943947,0.6619134042001555,0.0005,False,9,6,23.607776880264282
16,0.3248299607677953,7.124186038970947,0.3674005418444959,0.763758297220061,0.6479350127936732,0.879581581646449,0.6918044417151692,0.5612070306424015,0.0005,False,9,7,22.978962659835815
17,0.32694199626660453,12.047358512878418,0.5253066696883162,0.7672377569582065,0.6556502896498713,0.8788252242665417,0.6200835079538031,0.4145509662751041,0.0005,False,9,8,22.621177434921265
18,0.3269842168564665,14.641122817993164,0.33377747890440745,0.7713955496393405,0.6597702803296847,0.8830208189489964,0.8001049567292505,0.7015907188135391,0.0005,False,9,9,23.261105060577393
19,0.31867622413804947,8.25400447845459,0.3473157296920645,0.7682971459970537,0.6566445533007649,0.8799497386933425,0.7578771958926265,0.6553583168967785,0.00025,False,9,10,22.725804328918457
20,0.3098465019757224,8.08124828338623,0.3650699576807814,0.7814864228125245,0.676006803993299,0.8869660416317497,0.7473394074737356,0.6442616092595174,0.00025,False,9,11,22.69920539855957
21,0.3056977880169945,10.05225944519043,0.37446351343644535,0.787588646083081,0.6888083529392501,0.886368939226912,0.760936840408347,0.6601272534464475,0.00025,False,9,12,23.38408660888672
