epoch,train_loss,maximum_preclip_gradient_norm,validation_loss,selection_score,graph_average_precision,graph_auroc,graph_balanced_accuracy_at_0p5,graph_f1_at_0p5,learning_rate_after_scheduler,is_best,best_epoch,early_stop_patience_counter,elapsed_seconds
1,0.5988822391597703,3.509277820587158,0.5916657826909617,0.6325938039613017,0.5099609368013267,0.7552266711212767,0.5145147206869707,0.0736949846468782,0.001,True,1,0,43.128358364105225
2,0.4670510619315563,11.702499389648438,0.4810293548256349,0.7212255285041465,0.5919111056360103,0.8505399513722827,0.6685600091682664,0.5249199817101051,0.001,True,2,0,44.442676305770874
3,0.3872417263401869,11.914196014404297,0.3710586088370546,0.7269697831543183,0.5947626340159637,0.8591769322926728,0.7862795775268774,0.6817071752529363,0.001,True,3,0,43.85842204093933
4,0.36957752065556226,16.19687843322754,0.3571797793547921,0.7481304459743625,0.6268267772428432,0.8694341147058819,0.8024856502982699,0.6988390621443205,0.001,True,4,0,44.77341318130493
5,0.35761695473998,17.71000099182129,0.36641886666664525,0.7495446567332826,0.6292865344833894,0.8698027789831758,0.761253014024521,0.6567727329895611,0.001,True,5,0,40.07090640068054
6,0.35015990516344525,11.177949905395508,0.35174799361295933,0.7451845728315458,0.6186148515120055,0.8717542941510863,0.8392448218539204,0.7297269017474103,0.001,False,5,1,42.77292537689209
7,0.35974735370472805,14.272647857666016,0.34235481196588635,0.7412204789601058,0.6102585613112897,0.8721823966089219,0.8502064089575536,0.7375929888922858,0.001,False,5,2,41.088154554367065
8,0.3454422688493026,10.283475875854492,0.3415818238776001,0.769565225064172,0.6594628852437388,0.8796675648846054,0.834578302171352,0.7319598986449268,0.001,True,8,0,43.26326036453247
9,0.36159358546891723,21.13816261291504,0.3450597602288842,0.7545123884349114,0.6361541762020495,0.8728706006677734,0.8164651660598552,0.7132303559435862,0.001,False,8,1,44.34650111198425
10,0.34537811188470424,15.590340614318848,0.3685478311160515,0.7671603987330935,0.6542731633055905,0.8800476341605964,0.7979875311085942,0.7007778317938747,0.001,False,8,2,43.52294731140137
11,0.3432754316732406,21.538795471191406,0.34200615360666814,0.779372996986803,0.6726414601208031,0.8861045338528029,0.8489719331282196,0.7417106652587118,0.001,True,11,0,44.59254574775696
12,0.34939269676528034,22.4338321685791,0.34856571517837154,0.7850587871944941,0.6810718266336209,0.8890457477553672,0.8582726941951568,0.7471287940935193,0.001,True,12,0,45.99161982536316
13,0.33722443047561473,12.69635009765625,0.3287691235313927,0.7862462333593485,0.6832926131453542,0.8891998535733429,0.8590037822787593,0.751944502837923,0.001,True,13,0,44.0657422542572
14,0.3385825671670347,8.430826187133789,0.3319913932190088,0.7854753153471764,0.6839403524234514,0.8870102782709014,0.809332215500002,0.7134629229661628,0.001,False,13,1,43.08256793022156
15,0.33443935184764456,8.704277992248535,0.4322655187636652,0.7711398964224999,0.6578812131638996,0.8843985796811002,0.8001148861486014,0.7046403142646698,0.001,False,13,2,43.18284559249878
16,0.3442150666909231,47.1329231262207,0.32422032529823624,0.78633249905549,0.6833828963597008,0.8892821017512791,0.8342796818011511,0.7389744183354555,0.001,False,13,3,43.64209485054016
17,0.335275984576996,13.15872573852539,0.38551128542438473,0.7742871601068695,0.6633636339205553,0.8852106862931836,0.7014966924274129,0.5771324863883848,0.001,False,13,4,45.18305444717407
18,0.33569254673567417,7.898688316345215,0.3292150211973665,0.7730359794636397,0.6581853248602593,0.8878866340670201,0.8317819563452309,0.7353856796956071,0.0005,False,13,5,44.87797951698303
19,0.3257996578008328,10.07972526550293,0.34651717037381186,0.7712025603890189,0.6560656009143421,0.8863395198636959,0.7279744882168226,0.6172732524552282,0.0005,False,13,6,45.148234844207764
20,0.3231682720752934,4.317148685455322,0.3531410458139685,0.7742694454408958,0.6599645292450841,0.8885743616367077,0.7399719012802988,0.6342428955181677,0.0005,False,13,7,45.63333344459534
21,0.3237411926182979,7.46138858795166,0.3354139574262222,0.7848185289705819,0.6780559728271649,0.8915810851139989,0.76681268958889,0.6691699074694917,0.0005,False,13,8,47.0019588470459
22,0.3195118256147077,6.501281261444092,0.33761492752176286,0.7755833479445571,0.6606867618622668,0.8904799340268474,0.825221592054202,0.7311649911295091,0.0005,False,13,9,41.17004752159119
23,0.32360629725102175,20.17844581604004,0.33346101984210397,0.7736513210176355,0.6572045295348881,0.8900981125003827,0.8214647055561342,0.7273159709834701,0.00025,False,13,10,43.75569248199463
24,0.3124428520942908,5.872011661529541,0.3413027832106155,0.7704632517175549,0.652844078433582,0.8880824250015278,0.7715519737779712,0.6738388874311204,0.00025,False,13,11,41.993568658828735
25,0.3117134948665249,6.882455825805664,0.3352297971531806,0.7715097898634247,0.6550314534679189,0.8879881262589305,0.8511275393644606,0.7521367521367522,0.00025,False,13,12,45.51726698875427
