operator,source_f1_mean,source_f1_std,source_ap_mean,source_ap_std,exact_set_attack_mean,exact_set_attack_std,derived_graph_balanced_accuracy_mean,derived_graph_balanced_accuracy_std,parameter_count,total_linear_macs,inference_microseconds_per_item_mean
conv1d,0.7054404810368885,0.001804544207657336,0.6307617281410793,0.007712886973665592,0.8019415714026492,0.01911168546083162,0.8113742636090532,0.0010120980307830234,28353,10791424,50.99667273436618
gcnconv,0.6702287773081045,0.02250794181512586,0.5722635415831986,0.021777495586434402,0.6763745236799129,0.0493642553949502,0.8473149907343864,0.0035158720962247553,36673,10922496,57.0353544271048
graphconv,0.7376483272117939,0.0023501567343814623,0.6626439558647764,0.027179153007192456,0.9011068771547813,0.02626576803972867,0.8503608119408144,0.0008407104941615456,44865,11053568,54.50937851558516
gatconv,0.6164028338809622,0.024736759271993095,0.5814297376851497,0.007330865245982708,0.552531301034295,0.09877689820389546,0.8362171277298781,0.005758613971866787,36929,10922496,67.49284687496508
