epoch,learning_rate,train_loss,maximum_preclip_gradient_norm,validation_loss,validation_selection_score,source_average_precision,source_auroc,source_fixed_0_5_f1,derived_graph_average_precision,derived_graph_auroc,derived_graph_fixed_0_5_balanced_accuracy,exact_set_attack_fixed_0_5,is_best_checkpoint,early_stop_patience_counter,elapsed_seconds
1,0.001,0.61473614613863,20.230350494384766,0.4245082795391594,0.557933723229247,0.38509412219532413,0.9527927948180431,0.40592377889993436,0.5087538537082964,0.7552294685737874,0.51590084303537,0.4858464888405008,True,0,26.28792405128479
2,0.001,0.4653672791361873,33.34162521362305,0.4013646274690884,0.5779532071266394,0.4140480421580977,0.9595769974525624,0.4250704425449294,0.5241397467377998,0.7782254504482625,0.5281422185507622,0.4844855743059336,True,0,24.407992124557495
3,0.001,0.4484931361280084,65.97704315185547,0.37495547449299504,0.5962732363040563,0.4407038048317641,0.9628413251343064,0.43447286636385374,0.5408440104183905,0.7975436583964953,0.5434053346374176,0.48502994011976047,True,0,25.69739532470703
4,0.001,0.4495874905798273,81.1026840209961,0.43755680033378064,0.6048425794777559,0.4485209312783088,0.9637658539425403,0.5014081131284079,0.5585626014118654,0.8154489530088231,0.6445506424365062,0.4765922700054437,True,0,31.10235285758972
5,0.001,0.3949419470288424,51.49623489379883,0.38799354536779995,0.6237719845478772,0.47154595109751574,0.9679339551093897,0.5246143445393645,0.5840620808870874,0.8380039672180374,0.6907665868337252,0.457267283614589,True,0,40.58807063102722
6,0.001,0.38949782955205803,67.81502532958984,0.3477204812745329,0.6352145467132881,0.4878928886210211,0.9691276381331559,0.4457942562806745,0.5959447714779542,0.8409217562984797,0.5711616584478947,0.5021774632553075,True,0,25.22594428062439
7,0.001,0.3791088991526972,51.527069091796875,0.3509424479528405,0.6398554869576052,0.4950408940325871,0.9691117157312845,0.5234603231383771,0.6002284440339621,0.8398460589550513,0.6688492227201346,0.49782253674469246,True,0,25.282299995422363
8,0.001,0.3737995803094531,88.7673568725586,0.5700927769544024,0.6378893891989823,0.4872759760056755,0.9706850203467395,0.5850140666481753,0.6063205844378388,0.8555436716767094,0.8176746800052481,0.4197060424605335,False,1,24.124235153198242
9,0.001,0.366439767233904,57.116703033447266,0.9188183163926671,0.6204049826865732,0.47497391285064483,0.9677311447992525,0.5665946125706683,0.5639409602457506,0.8335500078144222,0.804251980258224,0.3960261295590637,False,2,24.7454354763031
10,0.001,0.35163813203609756,65.28304290771484,0.48519874349864506,0.6411403473089409,0.48473337200645655,0.9702858439036064,0.5733069876055326,0.6248088013192441,0.8616495575290882,0.8016166262870279,0.4583560152422428,True,0,23.72112512588501
11,0.001,0.3637513787716426,82.89152526855469,0.3241888037662701,0.6452808723691787,0.5060958579836528,0.9722451310589498,0.4811427073778011,0.5966866424504593,0.8514369960204855,0.6078710292006085,0.5010887316276538,True,0,25.316576719284058
12,0.001,0.3352604044815125,48.06580352783203,0.3117009289419971,0.6364588541075548,0.4970171060494928,0.9722487615335987,0.539189107777577,0.5795524427976346,0.8482565077045531,0.7293156053951608,0.48965704953728906,False,1,24.578598499298096
13,0.001,0.3230828117658117,60.52777862548828,0.32021218313720184,0.6305128224366061,0.48367853790842746,0.970601060965307,0.5366596952494772,0.5840931529642626,0.8533062322692234,0.7129027055853998,0.5070767555797496,False,2,26.039043188095093
14,0.001,0.32658878639325534,49.38679504394531,0.2979596151778829,0.6403642784401955,0.49987756777658043,0.9721531128589076,0.516401997010126,0.5895488653487134,0.8460311649735828,0.6525604560228784,0.522591181273816,False,3,25.057332515716553
