threshold,objective,source_node_f1,source_exact_set_attack,derived_graph_balanced_accuracy
0.0,0.053042657282636685,0.08840442880439447,0.0,0.5
0.001,0.6811743564987821,0.6063484783961738,0.7934131736526946,0.6564264739100971
0.002,0.6933986333504896,0.6210971597394749,0.8018508437670114,0.6816128303591598
0.003,0.7005421435721233,0.6297368152259031,0.8067501360914534,0.696973119494014
0.004,0.7057477865605891,0.6362354236180386,0.8100163309744148,0.7086062796476169
0.005,0.7099814374708926,0.6407511346706857,0.813826891671203,0.7157781793539644
0.006,0.7139992219765929,0.6449070683823274,0.8176374523679912,0.7223853625480009
0.007,0.7167691991090752,0.6486164205800863,0.8189983669025586,0.7285972441834199
0.008,0.718836978720256,0.6515183541182273,0.8198149156232989,0.7336796927942173
0.009000000000000001,0.7209868171933143,0.6543755971548887,0.8209036472509527,0.7387056697537836
0.01,0.7227522377361268,0.6569550541836916,0.8214480130647795,0.7437881183645809
0.011,0.7246637706301831,0.6594151212553495,0.8225367446924333,0.7480234922069121
0.012,0.7258759584641816,0.6612539790407382,0.8228089275993468,0.7509600180709284
0.013000000000000001,0.727410964226461,0.6627235903502168,0.8244420250408274,0.753388299073865
0.014,0.7285716825680124,0.6642952103769179,0.8249863908546543,0.7558730517280325
0.015,0.7297882074121377,0.6657783859699664,0.8258029395753946,0.7583013327309691
0.016,0.7306399140402693,0.6668349864743012,0.8263473053892215,0.7600519539191326
0.017,0.7316749071592326,0.6680156091920797,0.8271638541099618,0.7620284617122204
0.018000000000000002,0.7325019843612495,0.6690311606528899,0.8277082199237887,0.7635531962954597
0.019,0.7335708936797116,0.6702683103698331,0.8285247686445292,0.7650779308786989
0.02,0.7346215134643366,0.6716564328016568,0.8290691344583561,0.7676191551840976
0.021,0.7352435118122312,0.672511641443539,0.8293413173652695,0.7688615315111813
0.022,0.7360198470421303,0.6734426229508196,0.8298856831790964,0.7701603794894962
0.023,0.7366155649067172,0.6742540307871889,0.8301578660860098,0.7716286424215044
0.024,0.7371238162667575,0.6749196611159801,0.8304300489929233,0.7726451321436638
0.025,0.7377212788518508,0.6757339768198602,0.8307022318998367,0.7738310368195166
0.026000000000000002,0.7382407697551024,0.6765997949919462,0.8307022318998367,0.7752992997515247
0.027,0.7389846425395996,0.6772952171522815,0.831518780620577,0.7764852044273775
0.028,0.7397436415692245,0.6780158497211624,0.8323353293413174,0.7773322791958437
0.029,0.7402118322524819,0.6786147122553159,0.8326075122482308,0.7786311271741586
0.03,0.740879518690627,0.6793646124430064,0.8331518780620577,0.7798170318500113
0.031,0.7416900608130601,0.6799896948952926,0.8342406096897115,0.7807205782697086
0.032,0.7422198095928997,0.6806911542570828,0.8345127925966249,0.7819064829455613
0.033,0.7427246074001677,0.6811695733933114,0.8350571584104518,0.7827535577140275
0.034,0.7432870820674069,0.681925575900768,0.8353293413173652,0.7840524056923425
0.035,0.7437920185944695,0.6824042262366544,0.8358737071311921,0.7847865371583465
0.036000000000000004,0.7443731082684124,0.6830097984840081,0.836418072945019,0.7856336119268128
0.037,0.7449256120690453,0.6835677276091783,0.8369624387588459,0.7863677433928168
0.038,0.7453686986551918,0.6841247499814801,0.8372346216657593,0.787158346510052
0.039,0.7457362009440018,0.6845557985248878,0.8375068045726728,0.7876665913711317
0.04,0.7463370185046219,0.6850127953120944,0.8383233532934131,0.7884007228371357
0.041,0.7468751256504679,0.6855467300126197,0.8388677191072401,0.789247797605602
0.042,0.747274279715144,0.6860305315158043,0.8391399020141536,0.7900948723740682
0.043000000000000003,0.7478609717308118,0.6864639857280904,0.8399564507348939,0.7905466455839169
0.044,0.7486824231395866,0.6869257950530037,0.8413173652694611,0.790975270642771
0.045,0.7488204421637452,0.6871558267599347,0.8413173652694611,0.7913141005501574
0.046,0.7492209925959399,0.6876419555423167,0.8415895481763745,0.7921047036673926
0.047,0.7497320420369238,0.6879493387967964,0.8424060968971149,0.7926129485284723
0.048,0.7499026944332524,0.6882337594573441,0.8424060968971149,0.7930082500870899
0.049,0.7505999900359983,0.6886700977101514,0.8434948285247686,0.7935729665994007
0.05,0.750769568913172,0.6889527291721076,0.8434948285247686,0.7939682681580182
0.051000000000000004,0.7510342401829752,0.6892123926838372,0.8437670114316821,0.794476513019098
0.052000000000000005,0.751437300169994,0.6895212487863173,0.844311377245509,0.7948153429264846
0.053,0.7516537094694187,0.6898819309520251,0.844311377245509,0.7956059460437197
0.054,0.7519792184534924,0.6902429906542056,0.8445835601524224,0.7962271342072615
0.055,0.7519040637462853,0.6904806433514119,0.8440391943385955,0.7968483223708035
0.056,0.7525876425598595,0.690894120288933,0.8451279259662493,0.7971306806269589
0.057,0.7528051468736137,0.6910751722072477,0.8454001088731627,0.797243623929421
0.058,0.752962096060595,0.69133675418555,0.8454001088731627,0.7978083404417319
0.059000000000000004,0.7531175166655302,0.6915957885271085,0.8454001088731627,0.7981471703491183
0.06,0.7535063602323939,0.6918809505959966,0.8459444746869896,0.7985989435589671
0.061,0.7539732272962685,0.6922961518265697,0.8464888405008165,0.79927660337374
0.062,0.7543780104808293,0.6926078799249531,0.8470332063146434,0.7995589616298955
0.063,0.7545496089645376,0.6928938773978003,0.8470332063146434,0.8000672064909752
0.064,0.7548302223853329,0.6931801111611837,0.8473053892215568,0.8004625080495927
0.065,0.7549275659681539,0.6933423504658852,0.8473053892215568,0.8006883946545171
0.066,0.755270389085711,0.6935508117859291,0.8478497550353837,0.8009142812594414
0.067,0.7553642460484365,0.6937072400571385,0.8478497550353837,0.8011966395155968
0.068,0.7555845152491211,0.693892900120337,0.8481219379422972,0.8015354694229833
0.069,0.7560050945072372,0.6940494997367035,0.8489384866630375,0.8016484127254455
