threshold,objective,source_node_f1,source_exact_set_attack,derived_graph_balanced_accuracy
0.0,0.053042657282636685,0.08840442880439447,0.0,0.5
0.001,0.5107921602023089,0.5134505518886239,0.5068045726728362,0.6706573300203298
0.002,0.5236510215784442,0.5290754188346961,0.5155144256940664,0.701773209848656
0.003,0.5311417227000006,0.5382937258209953,0.5204137180185084,0.7201264964987576
0.004,0.537431905786534,0.5447853483304871,0.5264017419706043,0.7333973345380619
0.005,0.5412916111618458,0.5492221826386414,0.5293957539466522,0.7416986672690309
0.006,0.544739356573612,0.5533353275501047,0.5318454001088732,0.7496046984413824
0.007,0.5467666049670703,0.5563511643299838,0.5323897659227,0.754856562005873
0.008,0.5482073570460626,0.558752417794971,0.5323897659227,0.7587299577898232
0.009000000000000001,0.549962953249314,0.5611340456532297,0.5332063146434404,0.7624006151198435
0.01,0.5515253112857246,0.5630121546288116,0.5342950462710941,0.7654500842863219
0.011,0.5531483754294919,0.5649914404499878,0.5353837778987479,0.7686124967552626
0.012,0.5551844504025211,0.5671147118394403,0.5372890582471421,0.7720572674803585
0.013000000000000001,0.5564531141590019,0.5686847856197482,0.5381056069678825,0.7746549634369883
0.014,0.5572213226723701,0.5699651331420285,0.5381056069678825,0.7766879428813072
0.015,0.5584553413769711,0.5712960098979276,0.5391943385955362,0.7788338656280883
0.016,0.559852507295469,0.5725358881344371,0.5408274360370169,0.7804483953627952
0.017,0.5608942185225025,0.5737277076989995,0.5416439847577572,0.7819731299460344
0.018000000000000002,0.561767160333985,0.5746382449043099,0.5424605334784975,0.7831590346218871
0.019,0.5630160113763729,0.5758123869519116,0.5438214480130648,0.7845708259026641
0.02,0.5638057388940778,0.5767656889388686,0.5443658138268916,0.7860955604859033
0.021,0.5645706615493316,0.577677649488407,0.5449101796407185,0.7868861636031386
0.022,0.5651791399866208,0.5785103249459468,0.545182362547632,0.787846181674067
0.023,0.5657298080718793,0.5794281050880443,0.545182362547632,0.789314444606075
0.024,0.5667610347019816,0.5802395397818365,0.5465432770821992,0.7903874059794656
0.025,0.5679843002424201,0.5811895840549135,0.54817637452368,0.7912344807479319
0.026000000000000002,0.5682651921038308,0.5816577371572645,0.54817637452368,0.792081555516398
0.027,0.5693872403704602,0.5824390859739932,0.5498094719651606,0.7932674601922507
0.028,0.5699582923465248,0.5830279287248831,0.5503538377789875,0.794114534960717
0.029,0.5704857676501285,0.583544143688338,0.5508982035928144,0.7946227798217967
0.03,0.5709667774510641,0.5841643714186215,0.5511703864997278,0.795526326241494
0.031,0.5714908191660101,0.5846748637343137,0.5517147523135547,0.7963169293587292
0.032,0.5726043850072939,0.5852606199041908,0.5536200326619488,0.7972769474296576
0.033,0.5732459772856824,0.5859670298256202,0.5541643984757757,0.7979546072444306
0.034,0.5735141970393137,0.5864140627483391,0.5541643984757757,0.7983499088030481
0.035,0.5740453841161464,0.586936464000509,0.5547087642896026,0.7989710969665901
0.036000000000000004,0.5746108061814992,0.587515923566879,0.5552531301034295,0.799592285130132
0.037,0.5749735598952826,0.5879390578185758,0.5555253130103429,0.8001005299912116
0.038,0.5755514756391695,0.5885393401825028,0.5560696788241698,0.800947604759678
0.039,0.5762910062566069,0.5892275253977381,0.5568862275449101,0.8016252645744509
0.04,0.5767050907994344,0.589736211031175,0.5571584104518236,0.8021899810867616
0.041,0.5774827995923293,0.5901251159962883,0.5585193249863909,0.8026982259478415
0.042,0.5780475099055229,0.5905219340377841,0.5593358737071312,0.8033758857626144
0.043000000000000003,0.5783380006298557,0.5908246299737298,0.5596080566140447,0.8035453007163077
0.044,0.5785723024788978,0.5912151330554666,0.5596080566140447,0.8038841306236941
0.045,0.5790859978506249,0.5917083814657939,0.5601524224278716,0.8043359038335429
0.046,0.5798478685347117,0.5922523448541693,0.5612411540555253,0.8050700352995469
0.047,0.5799702922048233,0.5926378395756309,0.5609689711486119,0.8056912234630889
0.048,0.5805099805565623,0.5929929543480359,0.5617855198693522,0.8060865250217064
0.049,0.5808765954061973,0.5932410685548761,0.5623298856831791,0.8063124116266307
0.05,0.5815069503539535,0.5935658390493672,0.5634186173108329,0.8067641848364794
0.051000000000000004,0.5819142612351309,0.5940632352467206,0.5636908002177463,0.8071030147438658
0.052000000000000005,0.582528312132004,0.5945422875943488,0.5645073489384866,0.8073853730000213
0.053,0.5831889333574305,0.5950989571562328,0.565323897659227,0.807893617861101
0.054,0.5837578068797201,0.5955027138795553,0.5661404463799673,0.8081759761172564
0.055,0.5840432282423954,0.5957969608794051,0.5664126292868807,0.8084018627221807
0.056,0.5841499795096678,0.5961563349294682,0.5661404463799673,0.8087971642807983
0.057,0.5846502761097486,0.5964457967824426,0.5669569951007076,0.8089665792344916
0.058,0.5849329951229914,0.5967355398665717,0.5672291780076211,0.8093054091418781
0.059000000000000004,0.5857558658883344,0.5971997147857652,0.5685900925421884,0.8098136540029578
0.06,0.5858331320758821,0.5973284917650111,0.5685900925421884,0.8100395406078822
0.061,0.5862019978018788,0.5975803574324544,0.5691344583560153,0.8100960122591132
0.062,0.5865396675273514,0.5977802297656909,0.5696788241698422,0.8104348421664997
0.063,0.5871185176916238,0.5980191589543757,0.5707675557974959,0.8105246373179673
0.064,0.5873439448564592,0.5982134156244924,0.5710397387044094,0.8106940522716606
0.065,0.5878804070780045,0.5983816982419653,0.5721284703320632,0.8107505239228916
0.066,0.5881877291067494,0.5987124463519314,0.5724006532389766,0.8109764105278159
0.067,0.5885807596461043,0.5990045867083048,0.5729450190528035,0.8110893538302781
0.068,0.5886977108523863,0.5991995053854414,0.5729450190528035,0.8113717120864335
0.069,0.5889470259709045,0.5994335753116963,0.5732172019597169,0.81171054199382
0.07,0.5893404791156708,0.5997264200104221,0.5737615677735438,0.8119364285987444
0.07100000000000001,0.5898664406538286,0.6000586567601917,0.5745781164942841,0.8122187868548998
0.07200000000000001,0.5899838038881918,0.600254262150797,0.5745781164942841,0.8125576167622863
0.073,0.5904827299106616,0.600541439707753,0.5753946652150245,0.8127270317159795
0.074,0.5905189668135837,0.6007832898172323,0.575122482308111,0.8127038835649849
0.075,0.5909014940322923,0.6010579246391954,0.5756668481219379,0.8129862418211404
0.076,0.5910546398138945,0.6013131676085324,0.5756668481219379,0.8130991851236025
0.077,0.5914492545134523,0.6016079482319107,0.5762112139357648,0.8133250717285269
0.078,0.5916697289024064,0.6019754055468342,0.5762112139357648,0.8136639016359133
0.079,0.5918233593759615,0.6022314563360928,0.5762112139357648,0.8140592031945308
0.08,0.5920978269684374,0.6025074470522767,0.5764833968426782,0.8143415614506864
0.081,0.5921925205195931,0.6026652696375364,0.5764833968426782,0.8145674480556107
0.082,0.5925211787726757,0.6028501228501228,0.5770277626565051,0.8147368630093039
0.083,0.593025630155618,0.6031465093411996,0.5778443113772455,0.8150192212654593
0.084,0.5931168058322518,0.6032984688022559,0.5778443113772455,0.8152451078703836
0.085,0.5935720790328647,0.6036943469273928,0.5783886771910725,0.81558393777777
0.08600000000000001,0.5936790678570656,0.6038726616343945,0.5783886771910725,0.8158662960339256
0.08700000000000001,0.5938099178379181,0.6040907449358154,0.5783886771910725,0.8161486542900809
0.088,0.5939765909289827,0.6043685334209229,0.5783886771910725,0.8164310125462364
0.089,0.5942896478620117,0.6045273844334199,0.5789330430048993,0.8165439558486985
0.09,0.5943850085851797,0.6046863189720333,0.5789330430048993,0.8167133708023917
0.091,0.5949397726755992,0.6048851047042966,0.5800217746325531,0.8167698424536228
0.092,0.5953365732684086,0.6051835284830944,0.58056614044638,0.8169957290585472
0.093,0.5953962972917465,0.6052830685219909,0.58056614044638,0.8169957290585472
0.094,0.5958902486140261,0.6055619549119632,0.5813826891671203,0.8171086723610094
0.095,0.596082845531174,0.6057014945026007,0.5816548720740338,0.8171086723610094
0.096,0.5963233625792,0.6059209009780353,0.5819270549809472,0.8172216156634715
0.097,0.596463494633391,0.6061544544016868,0.5819270549809472,0.8173910306171648
0.098,0.5968011053952282,0.6063542284621977,0.5824714207947741,0.8175039739196269
0.099,0.5971507938890968,0.6065741320760939,0.583015786608601,0.8176169172220891
0.1,0.5973436800895457,0.6067141538055666,0.5832879695155144,0.8177298605245513
0.101,0.5973393312705187,0.6068883610451307,0.583015786608601,0.8180122187807066
0.10200000000000001,0.5974078788450046,0.607002607002607,0.583015786608601,0.8180686904319378
0.10300000000000001,0.5975040535442491,0.6071628981680145,0.583015786608601,0.8182945770368621
0.10400000000000001,0.5975967518379987,0.6073173953242638,0.583015786608601,0.8183510486880932
0.105,0.5978741570827172,0.607598282127519,0.5832879695155144,0.8184639919905553
0.106,0.5981567794059444,0.6078878640616219,0.5835601524224279,0.818915765200404
0.107,0.5983862692287967,0.6080888918284335,0.5838323353293413,0.818972236851635
0.108,0.598470748368307,0.6082296903942842,0.5838323353293413,0.818972236851635
0.109,0.5985880319178976,0.6084251629769349,0.5838323353293413,0.818972236851635
0.11,0.5987573166610207,0.608525848944198,0.5841045182362548,0.8190851801540973
0.111,0.5990233535475623,0.6087877884838251,0.5843767011431682,0.8194240100614837
0.112,0.5993499848114149,0.6089692633810281,0.5849210669569951,0.819593425015177
0.113,0.5998339971972348,0.6092315848769012,0.5857376156777354,0.8197063683176391
0.114,0.6001539542462735,0.6094019360827476,0.5862819814915623,0.8198193116201014
0.115,0.6002957820801011,0.6094568605345182,0.5865541643984757,0.8198757832713324
0.116,0.601143128476942,0.6097803729015991,0.5881872618399564,0.8200451982250256
0.117,0.6013612776498514,0.6099624995851725,0.5884594447468698,0.8202146131787189
0.11800000000000001,0.6015396567712464,0.6100783428495552,0.5887316276537834,0.8204404997836432
0.11900000000000001,0.6018308908588398,0.6103822777242685,0.5890038105606968,0.8205534430861053
0.12,0.6019525657871214,0.6105850692714044,0.5890038105606968,0.8207228580397986
0.121,0.6021223067377452,0.6106865155845019,0.5892759934676103,0.8207228580397986
0.122,0.6026072771725378,0.6109504338286627,0.5900925421883506,0.8207793296910297
0.123,0.6026892732020337,0.6110870938778225,0.5900925421883506,0.820948744644723
0.124,0.6028713182769215,0.6112090470646933,0.590364725095264,0.821061687947185
0.125,0.6030777994320318,0.6113717270519347,0.5906369080021775,0.8211181595984162
0.126,0.6031632490577761,0.6115141430948419,0.5906369080021775,0.8212311029008783
0.127,0.6032932419552489,0.6115493426526876,0.5909090909090909,0.8212875745521094
0.128,0.6033909693196573,0.6117122215933681,0.5909090909090909,0.8213440462033406
0.129,0.6035132017547844,0.6119159423185799,0.5909090909090909,0.8215134611570337
0.13,0.6036599881877243,0.6121605863734799,0.5909090909090909,0.8216264044594959
0.131,0.6038545409846796,0.6123033857637964,0.5911812738160044,0.8217393477619581
0.132,0.6040736324308252,0.6124870829027634,0.5914534567229178,0.8217958194131891
0.133,0.6042682766574806,0.6126300346759135,0.5917256396298313,0.8219652343668824
0.134,0.604512013841755,0.6128548080450953,0.5919978225367447,0.8221911209718067
0.135,0.604570122909203,0.6129516564908418,0.5919978225367447,0.8223040642742689
0.136,0.604688041551483,0.6129667322900331,0.5922700054436582,0.8223040642742689
0.137,0.6047125872210112,0.6130076417392465,0.5922700054436582,0.8223040642742689
0.138,0.6048305121589717,0.6130227280312385,0.5925421883505716,0.8223040642742689
0.139,0.6049697760118409,0.6130733791814115,0.592814371257485,0.822417007576731
0.14,0.6052260718026907,0.6133190835615523,0.5930865541643985,0.8225864225304242
0.14100000000000001,0.6053244192203796,0.613482995924367,0.5930865541643985,0.8228123091353486
0.14200000000000002,0.6054319346795953,0.6136621883563933,0.5930865541643985,0.823094667391504
0.14300000000000002,0.6055304029053128,0.6138263020659224,0.5930865541643985,0.8232076106939662
0.14400000000000002,0.605588798085207,0.613923627365746,0.5930865541643985,0.8233770256476595
0.145,0.6055979418450116,0.6139388669654203,0.5930865541643985,0.8234334972988906
0.146,0.6056285600459822,0.6139898973003713,0.5930865541643985,0.8234334972988906
0.147,0.6058237196829717,0.6141337080907449,0.5933587370713119,0.8234899689501216
0.148,0.6062860138984109,0.6143598326359833,0.5941752857920523,0.8236593839038149
0.149,0.6064094412881921,0.6145655449522853,0.5941752857920523,0.8239982138112014
0.15,0.6064680511490546,0.6146632280537228,0.5941752857920523,0.8241676287648946
0.151,0.6066263395045084,0.6147455867082036,0.5944474686989657,0.8243370437185878
0.152,0.6069429559528805,0.6149103702462725,0.5949918345127926,0.824393515369819
0.153,0.607001660573894,0.615008211281295,0.5949918345127926,0.82444998702105
0.154,0.6071847528228655,0.6151319097583051,0.595264017419706,0.824506458672281
0.155,0.6073028899606676,0.6151473497166997,0.5955362003266195,0.8245629303235122
0.156,0.6073647718615847,0.6152504862182281,0.5955362003266195,0.8246194019747433
0.157,0.6074111931945418,0.61532785510649,0.5955362003266195,0.8247888169284365
0.158,0.6074576363303258,0.6154052603327966,0.5955362003266195,0.8247091971262108
0.159,0.6077992980717233,0.6156117860259078,0.5960805661404464,0.824765668777442
0.16,0.6079453620790882,0.6156737707669072,0.5963527490473598,0.8248786120799041
0.161,0.6084456379145333,0.6159631980121554,0.5971692977681001,0.8251044986848284
0.162,0.6085201120543433,0.6160873215785054,0.5971692977681001,0.8251044986848284
0.163,0.6087780235773333,0.6163357188455465,0.5974414806750136,0.8253303852897528
0.164,0.6088153019474247,0.6163978494623655,0.5974414806750136,0.8253303852897528
0.165,0.6089023140459608,0.6165428696265923,0.5974414806750136,0.8254998002434459
0.166,0.6089520536300511,0.6166257689334095,0.5974414806750136,0.8256127435459082
0.167,0.6092942074546102,0.6168331147651233,0.5979858464888405,0.8258386301508325
0.168,0.6093688921219209,0.6169575892106414,0.5979858464888405,0.8259515734532947
0.169,0.6095121127573933,0.6170148349984862,0.5982580293957539,0.8259515734532947
0.17,0.6098295148993376,0.617180928025842,0.5988023952095808,0.8260080451045257
0.171,0.6098419756489444,0.6172016959418535,0.5988023952095808,0.8260645167557568
0.17200000000000001,0.6098918270344953,0.6172847815844383,0.5988023952095808,0.8261209884069879
0.17300000000000001,0.6100755024462745,0.6174094519994614,0.5990745781164943,0.82623393170945
0.17400000000000002,0.6102716830969495,0.6175549644793106,0.5993467610234078,0.8262904033606812
0.17500000000000002,0.6102782073392479,0.6175658382164747,0.5993467610234078,0.8263237268609176
0.176,0.6104744512878963,0.6177114561929464,0.5996189439303212,0.8263801985121488
0.177,0.61052439595302,0.6177946973014857,0.5996189439303212,0.8263801985121488
0.178,0.6107082113575983,0.6179196010378408,0.5998911268372347,0.8264366701633798
0.179,0.610929554718746,0.6181070513684779,0.6001633097441481,0.8266625567683041
0.18,0.6109611733868531,0.6181597491486565,0.6001633097441481,0.8267755000707664
0.181,0.6110082619794075,0.6182382301362471,0.6001633097441481,0.8268319717219974
0.182,0.6111671814101278,0.6183216405828386,0.6004354926510616,0.8269449150244597
0.183,0.6112172411840247,0.6184050735393334,0.6004354926510616,0.8269449150244597
0.184,0.6114012293432386,0.618530265200081,0.600707675557975,0.8269449150244597
0.185,0.6112710583496586,0.6184947688153898,0.6004354926510616,0.826921766873465
0.186,0.6114396430406905,0.6185942880291675,0.600707675557975,0.8270347101759272
0.187,0.6116111755836797,0.6186987203295405,0.6009798584648884,0.8271476534783894
0.188,0.6119417621243475,0.618886787354769,0.6015242242787153,0.8272605967808515
0.189,0.6119919353539669,0.6189704094041346,0.6015242242787153,0.8272605967808515
0.19,0.6121886443014231,0.6191168023786193,0.6017964071856288,0.8273170684320825
0.191,0.6123602827523453,0.6192214111922142,0.6020685900925422,0.8273735400833137
0.192,0.6123573964952953,0.6192166007637974,0.6020685900925422,0.8274864833857758
0.193,0.612429870114096,0.6193373901284651,0.6020685900925422,0.827599426688238
0.194,0.6125429681461778,0.6195258868486017,0.6020685900925422,0.8276558983394691
0.195,0.6128081373077513,0.6196049249086727,0.6026129559063691,0.8276558983394691
0.196,0.6128710222082799,0.6197097330762205,0.6026129559063691,0.8277123699907002
0.197,0.612959096818422,0.619856524093124,0.6026129559063691,0.8277688416419313
0.198,0.6129842686569639,0.6198984771573604,0.6026129559063691,0.8277688416419313
0.199,0.6131938632566786,0.6200663462189425,0.6028851388132825,0.8278253132931623
0.2,0.6133783133034629,0.6201923076923076,0.603157321720196,0.8278817849443934
0.201,0.6135347602984715,0.6202715974127129,0.6034295046271094,0.8278817849443934
0.202,0.613678622376682,0.6203299122717881,0.6037016875340229,0.8278817849443934
0.203,0.6138253205340981,0.6203929539295393,0.6039738704409363,0.8279382565956245
0.20400000000000001,0.6139009935921095,0.6205190756928916,0.6039738704409363,0.8281076715493177
0.20500000000000002,0.6142196852021018,0.6206873178336609,0.6045182362547632,0.828277086503011
0.20600000000000002,0.6144548169730515,0.6208977488473014,0.6047904191616766,0.8283335581542421
0.20700000000000002,0.6147455733655193,0.6210194322921965,0.6053347849755035,0.8284465014567042
0.20800000000000002,0.6148895766105835,0.6210779824293613,0.605606967882417,0.8285029731079353
0.209,0.6149500107135137,0.6211787059342448,0.605606967882417,0.8287288597128597
0.21,0.6156461869439159,0.6214317232952038,0.6069678824169842,0.8287853313640907
0.211,0.6158436733082105,0.6215794119644191,0.6072400653238976,0.828898274666553
0.212,0.6159069942439264,0.6216849468572787,0.6072400653238976,0.829011217969015
0.213,0.6159295813530341,0.621722592039125,0.6072400653238976,0.829011217969015
0.214,0.6161144855413903,0.6218493104151097,0.6075122482308111,0.8291241612714773
0.215,0.6161244209339634,0.6218658694027315,0.6075122482308111,0.8291806329227083
0.216,0.6162685909952557,0.6219246975669431,0.6077844311377245,0.8292371045739394
0.217,0.6162939532475862,0.621966967987494,0.6077844311377245,0.8293500478764015
0.218,0.616463518552793,0.6220681215582298,0.608056614044638,0.8294629911788638
0.219,0.6166104580972958,0.6221315655277919,0.6083287969515514,0.8294629911788638
0.22,0.6167011875911248,0.6221013260795648,0.6086009798584648,0.8294629911788638
0.221,0.6167592123114256,0.6221980339467328,0.6086009798584648,0.8295759344813258
0.222,0.6170078196181971,0.622430924186743,0.6088731627653783,0.8298582927374814
0.223,0.617301828666724,0.6225580287250698,0.6094175285792053,0.8299147643887124
0.224,0.6177301802493171,0.6227275822155648,0.6102340772999456,0.8299712360399434
0.225,0.6178872522694838,0.622807913644567,0.610506260206859,0.8300841793424056
0.226,0.6182594093631848,0.622883809653575,0.6113228089275994,0.8300841793424056
0.227,0.6183103384383446,0.6229686914455081,0.6113228089275994,0.8301971226448678
0.228,0.6183485443546854,0.6230323679727428,0.6113228089275994,0.8301971226448678
0.229,0.6183740193049909,0.6230748262232519,0.6113228089275994,0.8301971226448678
0.23,0.6184350540413874,0.6231765507839128,0.6113228089275994,0.8302535942960989
0.231,0.6187622151651128,0.6233589087809037,0.6118671747414263,0.830366537598561
0.232,0.6188515155067759,0.6235077426836756,0.6118671747414263,0.8304230092497922
0.233,0.618915327577463,0.6236140961348208,0.6118671747414263,0.8304794809010232
0.234,0.618991930803521,0.6237417681782509,0.6118671747414263,0.8305924242034853
0.23500000000000001,0.6190276111681994,0.6238012354527148,0.6118671747414263,0.8307618391571786
0.23600000000000002,0.6192259212528226,0.6239502969891445,0.6121393576483397,0.8308183108084097
0.23700000000000002,0.6192770472587213,0.6240355069989758,0.6121393576483397,0.8308183108084097
0.23800000000000002,0.6193793411742188,0.6242059968581382,0.6121393576483397,0.830987725762103
0.23900000000000002,0.6193062359301817,0.6242656100560187,0.6118671747414263,0.831100669064565
0.24,0.6194790903997069,0.624372245567285,0.6121393576483397,0.8311571407157962
0.241,0.6196083642998786,0.6244062467962956,0.6124115405552532,0.8312700840182583
0.242,0.6196595818736956,0.624491609419324,0.6124115405552532,0.8313830273207206
0.243,0.61973643449715,0.6246196971250811,0.6124115405552532,0.8314394989719516
